Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,134,Красимир БОШНАКОВ,Ktm exc 300 tpi,ЕК ЛУДА РАБОТА,04:19:57,09:30:00,13:49:57,,1,25,4:19:57.0,0
2,772,Валентин РОГЛЕВ,KTM 250,НК ЕНДУРО ВИКТОРИ,04:32:53,09:23:00,13:55:53,,1,22,4:32:53.5,12:56.5
3,350,Цветан АЛЕКСИЕВ,KTM 350,МСК ЕКС ЕНДУРО КЪРНАРЕ,04:34:23,09:24:00,13:58:23,,1,20,4:34:23.5,14:26.5
4,94,Димитър ЦВЕТКОВ,KTM 300,НК ЕНДУРО ВИКТОРИ,05:02:41,09:23:00,14:25:41,,1,18,5:02:41.9,42:44.9
5,177,Николай ФИЛЧЕВ,KTM 350,МСК ЕКС ЕНДУРО КЪРНАРЕ,05:24:27,09:26:00,14:50:27,,1,16,5:24:27.8,1:04:30.8
6,915,Байрям КЪРМАДЖИ,Husqvarna 300Tbi,СК АФГ ТИМ,05:35:06,09:29:30,15:04:36,,1,15,5:35:06.1,1:15:09.1
7,117,Димитър ХРИСТОВ,husaberg te300,МСК ХАРД РАЙДЪРС,05:43:22,09:24:30,15:07:52,,1,14,5:43:22.5,1:23:25.5
8,327,Борислав БОЖИЛОВ,GasGas Ec300,BulDock ROCKETS,06:11:40,09:25:00,15:36:40,,1,13,6:11:40.0,1:51:43.0
9,464,Иван САРПИОНОВ,KTM EXC 300,МСК БС РЕЙСИНГ ТИЙМ,05:12:06,09:23:30,14:35:36,01:00:00,1,12,6:12:06.4,1:52:09.4
10,14,Георги ПЕТКОВ,Husqvarna TE300 TBI,МСК ХАРД РАЙДЪРС,06:14:01,09:25:00,15:39:01,,1,11,6:14:01.7,1:54:04.7
11,84,Мартин ИВАНОВ,Husqvarna,МСК ХАРД РАЙДЪРС,06:16:01,09:26:30,15:42:31,,1,10,6:16:01.8,1:56:04.8
12,295,Румен ЙОРДАНОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,06:17:01,09:25:30,15:42:31,,1,9,6:17:01.6,1:57:04.6
13,183,Иван ТОДОРОВ,KTM EXC 300,МСК ХАРД РАЙДЪРС,06:26:40,09:26:00,15:52:40,,1,8,6:26:40.8,2:06:43.8
14,63,Теодор ТОДОРОВ,KTM,МСК ЕНДУРО ЕКСТРИЙМ БОТ,06:29:30,09:30:30,16:00:00,,1,7,6:29:30.1,2:09:33.1
15,118,Петър БЕНЧЕВ,Gas Gas ec300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,07:22:56,09:24:00,16:46:56,,1,6,7:22:56.5,3:02:59.5
16,76,Мартин ХРИСТЕВ,Husqvarna te 300,ЕК ЛУДА РАБОТА,07:38:15,09:28:30,17:06:45,,1,5,7:38:15.8,3:18:18.8
DNF,17,Илиян МАНОЛОВ,,МСК ХАРД РАЙДЪРС,,,,,,0,,
DNF,27,Методи ТРЕНЧЕВ,,"МСК ""ЕКСТРИЙМ ЕНДУРО",6:25:30.2,,,,,0,,
DNF,73,Иван ИВАНОВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,170,Стефан МОЧЕВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,199,Йордан АТАНАСОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",,,,,,0,,
DNF,212,Мартин ПЕТКОВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,215,Валентин ВЛАДИМИРОВ,,МСК ХАРД РАЙДЪРС,,,,,,0,,
DNF,270,Джанер КАМБЕРОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",6:23:32.3,,,,,0,,
DNF,281,Захари ШЕНТОВ,,АФГ ТИМ,4:28:16.6,,,,,0,,
DNF,421,Даниел СЛАВКОВ,,СК КЪРТАЧИТЕ,,,,,,0,,
DNF,499,Ивелин ТОДОРОВ,,"МСК ""ЕНДУРО ЕКСТРИЙМ",,,,,,0,,
DNF,595,Емил НЕДЕЛЧЕВ,,МСК ЕНДУРО ВАРНА,,,,,,0,,
DNF,771,Марио ЧАНГАЛОВ,,ЕНДУРО КЛУБ КОРНИЦА,,,,,,0,,
DNF,804,Александър КРЪШНЯК,,МСК НСА МОТОРСПОРТ,,,,,,0,,
DNF,918,Ивайло СИВИНОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",6:25:32.4,,,,,0,,
