FinalPosition,RaceNumber,FirstName,LastName,TotalPoints,RacesParticipated,BestPosition,WorstResultDropped,WorstRace,Race_alba_damascena,Race_buhovo,Race_gorna_malina,Race_kirkovo,Race_kyrnare,Race_six_days,Race_stara_zagora
1,30,Илиян,КУЗМАНОВ,141.0,6,1,,,22.0,22.0,0,25.0,22.0,25.0,25.0
2,125,Десислав,ЦЕКОВ,126.0,6,1,,,14.0,25.0,0,22.0,25.0,22.0,18.0
3,411,Калоян,ТОТЕВ,110.0,7,3,15.0,kirkovo,16.0,20.0,16.0,15.0,18.0,20.0,20.0
4,78,Мирослав,ДИМИТРОВ,107.0,7,2,9.0,kyrnare,11.0,16.0,22.0,20.0,9.0,16.0,22.0
5,666,Цветан,ДЕНЕВ,103.0,7,1,13.0,gorna_malina,25.0,15.0,13.0,14.0,20.0,14.0,15.0
6,292,Светослав,ХРИСТОВ,103.0,6,1,,,15.0,18.0,25.0,16.0,0,18.0,11.0
7,64,Радослав,ТРАЯНОВ,96.0,7,4,7.0,stara_zagora,18.0,14.0,18.0,18.0,13.0,15.0,7.0
8,83,Лъчезар,ВУНЧЕВ,69.0,5,3,,,9.0,0,20.0,0,11.0,13.0,16.0
9,79,Павел,ИВАНОВ,63.0,5,5,,,7.0,12.0,15.0,0,16.0,0,13.0
10,916,Росен,ЖЕЛЯЗКОВ,50.0,6,10,,,4.0,0,9.0,10.0,7.0,11.0,9.0
11,51,Марио,ЗАРОВ,48.0,4,8,,,13.0,0,11.0,12.0,0,12.0,0
12,123,Димитър,ЧУКУРОВ,48.0,4,8,,,12.0,13.0,10.0,13.0,0,0,0
13,305,Данаил,КОСТАДИНОВ,46.0,5,9,,,5.0,11.0,12.0,0,8.0,0,10.0
14,188,Ивелин,ИВАНОВ,45.0,5,7,,,8.0,9.0,0,8.0,6.0,0,14.0
15,169,Илиян,КРЪСТЕВ,42.0,3,3,,,20.0,0,14.0,0,0,0,8.0
16,31,Христо,МИХОВ,30.0,3,10,,,10.0,0,0,11.0,0,9.0,0
17,74,Асан,ИМАМОВ,26.0,2,7,,,0,0,0,0,14.0,0,12.0
18,765,Максим,ИВАНОВ,18.0,2,11,,,0,10.0,8.0,0,0,0,0
19,69,Михаил,МИТОВ,17.0,2,6,,,2.0,0,0,0,15.0,0,0
20,190,Кирил,НАЧЕВ,17.0,2,11,,,0,7.0,0,0,10.0,0,0
21,389,Костадин,ХРИСТОВ,15.0,2,13,,,0,8.0,7.0,0,0,0,0
22,176,Пламен,ЯНКОВ,12.0,1,9,,,0,0,0,0,12.0,0,0
23,67,Александър,ВЕСКОВ,10.0,2,11,,,0,0,0,0,0.0,10.0,0
24,128,Божидар,КРЪСТЕВ,9.0,1,12,,,0,0,0,9.0,0,0,0
25,89,Добрин,ДОБРЕВ,6.0,1,15,,,6.0,0,0,0,0,0,0
26,911,Тодор,КОЧЕШЕВ,6.0,2,15,,,0,0,6.0,0,0.0,0,0
27,777,Антон,АНТОНОВ,5.0,1,16,,,0,0,0,0,5.0,0,0
28,81,Милко,МИЛЕВ,4.0,1,17,,,0,0,0,0,4.0,0,0
29,241,Веселин,МИТЕВ,3.0,1,18,,,3.0,0,0,0,0,0,0
30,727,Ивайло,ПЕТРОВ,3.0,1,18,,,0,0,0,0,3.0,0,0
31,905,Цветелин,КОСТАДИНОВ,2.0,1,19,,,0,0,0,0,2.0,0,0
32,115,Ивайло,ЙОРДАНОВ,1.0,1,20,,,0,0,0,0,1.0,0,0
33,33,Георги,СИНЕВ,0.0,1,23,,,0,0,0,0,0.0,0,0
