Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,16,Нейтън ДИМИТРОВ,Gas gas ec300,МСК ЕКСТРИЙМ ЕНДУРО КРУП,03:09:59,09:46:00,12:55:59,,1,25,3:09:59.7,3:46.1
2,54,Никола БОЖКОВ,Husqvarna TE 300,МСК ЕКС ЕНДУРО КЪРНАРЕ,03:15:04,09:57:30,13:12:34,,1,22,3:15:04.7,8:51.1
3,124,Илиян ЖИВКОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,03:21:54,09:48:00,13:09:54,,1,20,3:21:54.8,15:41.2
4,182,Александър ДИМИТРОВ,Ktm 300,МСК ХАРД ЕНДУРО ПЛЕВЕН,03:23:16,09:46:30,13:09:46,,1,18,3:23:16.1,17:02.5
5,775,Георги ВЪЛЕВ,KTM300,АЛБА ДАМАСЦЕНА МСК,03:25:40,09:53:30,13:19:10,,1,16,3:25:40.6,19:27.0
6,285,Николай ДИМИТРОВ,Husqvarna te 300 202,АЛБА ДАМАСЦЕНА МСК,03:25:50,09:45:00,13:10:50,,1,15,3:25:50.1,19:36.5
7,403,Александър ГЕНЧЕВ,KTM 300,МСК ПРЕПАРАТОРИТЕ,03:27:51,09:45:30,13:13:21,,1,14,3:27:51.7,21:38.1
8,909,Мартин ГИНОВ,KTM 300exc,ЕК ЛУДА РАБОТА,03:31:41,09:47:30,13:19:11,,1,13,3:31:41.8,25:28.2
9,301,Николай СИМЕОНОВ,KTM 300,НК ЕНДУРО ВИКТОРИ,03:36:47,09:48:30,13:25:17,,1,12,3:36:47.6,30:34.0
10,906,Виктор ПЕТРОВ,Ktm tpi 250,МСК ХАРД РАЙДЪРС,03:37:36,09:46:00,13:23:36,,1,11,3:37:36.8,31:23.2
11,152,Кристиян МАНДЕВСКИ,Gas Gas ec300,ЕНДУРО КЛУБ СЕВТОПОЛИС,03:38:25,09:47:00,13:25:25,,1,10,3:38:25.1,32:11.5
12,908,Здравко ГИНОВ,KTM exc 300,ЕК ЛУДА РАБОТА,03:43:28,09:45:00,13:28:28,,1,9,3:43:28.2,37:14.6
13,80,Иван ПЕНЧЕВ,GasGas 300tpi,МСК ХАРД РАЙДЪРС,03:52:17,09:55:30,13:47:47,,1,8,3:52:17.6,46:04.0
14,390,Христо ПАВЛОВ,Husqvarna TE 300,НК ЕНДУРО ВИКТОРИ,03:53:23,09:48:30,13:41:53,,1,7,3:53:23.5,47:09.9
15,402,Константин ГЕНЧЕВ,Husqvarna TE 300,МСК ПРЕПАРАТОРИТЕ,03:58:03,09:48:00,13:46:03,,1,6,3:58:03.3,51:49.7
16,42,Илиян ИЛИЕВ,KTM 300,МСК ХАРД РАЙДЪРС,04:00:23,09:47:30,13:47:53,,1,5,4:00:23.8,54:10.2
17,109,Мартин ЛЮБЕНОВ,Gas Gas ec 300,МОТО ДРУЖИНА БАНСКО,04:03:37,09:46:30,13:50:07,,1,4,4:03:37.1,57:23.5
18,969,Ивайло ПЕТРОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,04:06:45,09:58:30,14:05:15,,1,3,4:06:45.8,60:32.2
19,88,Владислав АНГЕЛОВ,KTM 300 EXC,МСК ЕНДУРО - КЪРДЖАЛИ,04:10:50,09:50:00,14:00:50,,1,2,4:10:50.5,1:04:36.9
20,3,Беркай ДУРАНОВ,Ktm exc 300,ЕНДУРО МОТО КЛУБ - ХАСКО,04:22:57,09:54:00,14:16:57,,1,1,4:22:57.2,1:16:43.6
21,974,Методи ТОДОРОВ,KTM EXC 350,НК ЕНДУРО ВИКТОРИ,04:23:49,09:58:00,14:21:49,,1,0,4:23:49.6,1:17:36.0
22,777,Антон АНТОНОВ,Husqvarna TE300 Pro,СБМОТО РЕЙСИНГ ТИЙМ,04:26:25,09:49:00,14:15:25,,1,0,4:26:25.4,1:20:11.8
23,254,Мирослав ДЕЛЧЕВ,Husqvarna Te 300,ЕНДУРО МОТО КЛУБ - ХАСКО,04:32:22,09:56:00,14:28:22,,1,0,4:32:22.7,1:26:09.1
24,77,Сали ЖИВКОВ,Ktm 250 exc-f,КРОС КЛУБ КИРКОВО,04:37:31,09:52:30,14:30:01,,1,0,4:37:31.8,1:31:18.2
25,25,Бижо БИЖЕВ,GAS GAS EC300,МСК ХАРД РАЙДЪРС,04:38:23,09:55:00,14:33:23,,1,0,4:38:23.0,1:32:09.4
26,733,Илиян СЛАВОВ,KTM 300 EXC TPI,МСК ЕНДУРО - КЪРДЖАЛИ,04:58:13,09:49:30,14:47:43,,1,0,4:58:13.4,1:51:59.8
27,888,Георги АНГЕЛОВ,KTM 300 EXC,МСК ЕНДУРО - КЪРДЖАЛИ,04:59:42,09:51:00,14:50:42,,1,0,4:59:42.0,1:53:28.4
28,21,Стоян СТОЯНОВ,KTM EXC 300,МСК ХАРД РАЙДЪРС,05:00:00,09:50:30,14:50:30,,1,0,5:00:00.5,1:53:46.9
29,72,Марин ГРУЕВ,Gasgas ec350,МСК ЕНДУРО ЕКСТРИЙМ БОТ,05:14:40,09:57:00,15:11:40,,1,0,5:14:40.2,2:08:26.6
30,521,Адриан ЦЕКОВ,Хускварна ТЕ300,МСК ХАРД РАЙДЪРС,04:53:00,09:56:00,14:49:00,00:30:00,1,0,5:23:00.7,2:16:47.1
31,206,Пламен КАЛИНОВ,KTM 300,МСК ПРЕПАРАТОРИТЕ,05:47:56,09:51:00,15:38:56,,1,0,5:47:56.9,2:41:43.3
32,314,Любомир ДИМИТРОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,05:50:36,09:57:00,15:47:36,,1,0,5:50:36.5,2:44:22.9
33,379,Мартин Димитров,KTM EXC 450,МСК ЕНДУРО ЕКСТРИЙМ БОТ,05:53:35,09:59:00,15:52:35,,1,0,5:53:35.5,2:47:21.9
34,822,Венелин Петков,Husqvarna fe501,МСК ЕНДУРО ЕКСТРИЙМ БОТ,05:53:36,09:59:00,15:52:36,,1,0,5:53:36.2,2:47:22.6
35,445,Ангел НАЧЕВ,gas gas 300,МСК ХАРД ЕНДУРО ПЛЕВЕН,05:54:37,09:49:30,15:44:07,,1,0,5:54:37.9,2:48:24.3
36,91,Боян МЛАДЕНОВ,KTM300EXC,МСК ПРЕПАРАТОРИТЕ,04:03:08,09:47:00,13:50:08,02:00:00,1,0,6:03:08.9,2:56:55.3
37,524,Веселин СТОЙЧЕВ,GazGaz 300,МОТО ДРУЖИНА БАНСКО,06:08:39,09:51:30,16:00:09,,1,0,6:08:39.1,3:02:25.5
38,114,Станимир ПЕЙЧЕВ,Gas Gas EC 300,НК ЕНДУРО ВИКТОРИ,06:13:35,09:56:30,16:10:05,,1,0,6:13:35.7,3:07:22.1
39,365,Тодор АНГЕЛОВ,KTM EXC 300,МСК ЕНДУРО ВАРНА,06:17:05,09:49:00,16:06:05,,1,0,6:17:05.0,3:10:51.4
40,101,Яна КИРОВА,Husqvarna te 300i,МСК ХАРД РАЙДЪРС,06:20:17,09:50:30,16:10:47,,1,0,6:20:17.2,3:14:03.6
41,861,Александър ПЕТКОВ,Ktm exc 300,МСК ХАРД РАЙДЪРС,06:20:49,09:50:00,16:10:49,,1,0,6:20:49.1,3:14:35.5
42,882,Мустафа ЕМИН,Husqvarna TE 300,ЕНДУРО КЛУБ КОРНИЦА,06:31:33,09:52:00,16:23:33,,1,0,6:31:33.5,3:25:19.9
43,52,Едуард Ангелов,Husqvarna TE 300I,МСК ХАРД РАЙДЪРС,06:32:10,09:52:00,16:24:10,,1,0,6:32:10.4,3:25:56.8
DNF,4,Богомил ЯНЕВ,,МСК ХАРД РАЙДЪРС,,,,,,0,,
DNF,8,Иво МАРКОВ,,МСК ХАРД РАЙДЪРС,3:59:35.8,,,,,0,,
DNF,104,Георги ГИНОВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,105,Красимир БАЛАБАНОВ,,МСК ЕКС ЕНДУРО КЪРНА,,,,,,0,,
DNF,137,Красимир КАМЕНОВ,,МСК ХАРД РАЙДЪРС,4:51:42.6,,,,,0,,
DNF,223,Сейфетин ОСМАНОВ,,МСК ХАРД РАЙДЪРС,4:52:41.0,,,,,0,,
DNF,235,Даниел ВАСИЛЕВ,,,,,,,,0,,
DNF,253,Виктор ХРИСТОВ,,НК ЕНДУРО ВИКТОРИ,,,,,,0,,
DNF,328,Николай ТАКУЧЕВ,,СПОРТЕН КЛУБ БУЛДОК,3:06:13.6,,,,,0,,
DNF,447,Антоан ХРИСТОВ,,МСК ХАРД РАЙДЪРС,4:29:54.1,,,,,0,,
DNF,557,Николай ДЖОГОЛАНОВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,654,Мирослав СТАНЕВ,,МОТО СПОРТЕН КЛУБ ЕН,,,,,,0,,
DNF,665,Иван ИВАНОВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,717,Иво ГЕОРГИЕВ,,МСК ХАРД РАЙДЪРС,4:56:03.9,,,,,0,,
DNF,726,Александър ТОТЕВ,,ЕК ЛУДА РАБОТА / CRAZ,,,,,,0,,
DNF,728,Никола ТЕРЗИЕВ,,ЕК ЛУДА РАБОТА / CRAZ,3:35:28.3,,,,,0,,
