Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,172,Алекс АТАНАСОВ,Husqvarna fe 250,МСК ПРЕПАРАТОРИТЕ,03:50:45,09:01:30,12:52:15,,1,25,3:50:45.0,0
2,282,Александър ПИРИШАНЧИН,KTM 300,МОТО ДРУЖИНА БАНСКО,03:54:28,09:00:00,12:54:28,,1,22,3:54:28.5,3:43.5
3,296,Павлин МИЛОВ,Ktm exc300i,СК КЪРТАЧИТЕ,04:13:55,09:02:00,13:15:55,,1,20,4:13:55.6,23:10.6
4,155,Петър КРАЧУНОВ,KTM EXC 150,СК КЪРТАЧИТЕ,04:15:27,09:00:30,13:15:57,,1,18,4:15:27.7,24:42.7
5,82,Денис ИВАНОВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,04:47:50,09:02:00,13:49:50,,1,16,4:47:50.4,57:05.4
6,277,Борис МОЛЛОВ,Husqvarna te 300 201,МСК ЕКС ЕНДУРО КЪРНАРЕ,04:59:11,09:01:00,14:00:11,,1,15,4:59:11.9,1:08:26.9
7,173,Марин МОЧЕВ,Husvarna,АЛБА ДАМАСЦЕНА МСК,06:02:34,09:01:00,15:03:34,,1,14,6:02:34.2,2:11:49.2
DNF,32,Йоан ПАЧАРОЗОВ,,МСК ЕКС ЕНДУРО КЪРНА,,,,,,0,,
DNF,252,Светослав КРЪСТАНОВ,,СК КЪРТАЧИТЕ,4:44:35.7,,,,,0,,
DNF,265,Йордан ЧИФУТСКИ,,СК КЪРТАЧИТЕ,,,,,,0,,
