FinalPosition,RaceNumber,FirstName,LastName,TotalPoints,RacesParticipated,BestPosition,WorstResultDropped,WorstRace,Race_alba_damascena,Race_buhovo,Race_gorna_malina,Race_kirkovo,Race_kyrnare,Race_six_days,Race_stara_zagora
1,255,Димитър,ТИНЧЕВ,147.0,6,1,,,25.0,25.0,25.0,0,25.0,25.0,22.0
2,347,Димитър,ИЛИЕВ,120.0,7,2,16.0,gorna_malina,22.0,22.0,16.0,18.0,22.0,20.0,16.0
3,107,Калоян,ТОДОРОВ,95.0,6,1,,,5.0,0,22.0,12.0,15.0,16.0,25.0
4,9,Константин,ИВАНОВ,78.0,7,5,9.0,gorna_malina,16.0,10.0,9.0,13.0,12.0,14.0,13.0
5,772,Валентин,РОГЛЕВ,73.0,5,4,,,13.0,18.0,0,15.0,13.0,0,14.0
6,400,Иван,ГЕНЧЕВ,72.0,6,4,,,18.0,13.0,15.0,0,11.0,15.0,0.0
7,274,Иван,ЧУКУРОВ,67.0,6,6,,,15.0,14.0,0,14.0,0.0,13.0,11.0
8,307,Милен,ДИМИТРОВ,64.0,6,1,,,6.0,4.0,0,25.0,9.0,18.0,2.0
9,811,Иван,ЦОНЧЕВ,58.0,3,3,,,0,20.0,0,0,18.0,0,20.0
10,294,Александър,Кабакчиев,57.0,4,3,,,0,0,0,20.0,16.0,11.0,10.0
11,350,Цветан,АЛЕКСИЕВ,55.0,3,3,,,20.0,15.0,20.0,0,0,0,0
12,34,Георги,ГЕОРГИЕВ,54.0,3,2,,,0,0,0,0,14.0,22.0,18.0
13,94,Димитър,ЦВЕТКОВ,53.0,3,3,,,0,0,18.0,0,20.0,0,15.0
14,57,Петър,ПЕТРОВ,53.0,7,9,2.0,kyrnare,11.0,11.0,12.0,10.0,2.0,2.0,7.0
15,118,Петър,БЕНЧЕВ,47.0,5,7,,,14.0,0,13.0,0,0.0,12.0,8.0
16,464,Иван,САРПИОНОВ,46.0,4,5,,,0,16.0,14.0,0,7.0,0,9.0
17,327,Борислав,БОЖИЛОВ,31.0,2,9,,,0,0,0,11.0,0,20.0,0
18,804,Александър,КРЪШНЯК,29.0,5,11,,,10.0,8.0,3.0,8.0,0.0,0,0
19,14,Георги,ПЕТКОВ,26.0,4,11,,,7.0,0,0,9.0,0.0,10.0,0
20,117,Димитър,ХРИСТОВ,25.0,4,5,,,9.0,0,0,16.0,0.0,0,0.0
21,203,Веско,ПАСПАЛЕВ,23.0,4,9,,,0,12.0,8.0,0,0.0,0,3.0
22,171,Георги,ПЕТРОВ,22.0,1,2,,,0,0,0,22.0,0,0,0
23,180,Николай,СЛАВОВ,21.0,3,10,,,0,0,11.0,0,6.0,0,4.0
24,100,Теодор,КРЪСТЕВ,21.0,3,12,,,0,9.0,0,7.0,0,0,5.0
25,111,Синан,СЕИДОВ,20.0,6,12,,,4.0,0.0,7.0,0,0.0,9.0,0.0
26,567,Георги,ВЕСКОВ,20.0,5,13,,,8.0,0.0,0,6.0,0,6.0,0.0
27,862,Иво,ГЕОРГИЕВ,19.0,7,14,,buhovo,3.0,0.0,1.0,4.0,4.0,7.0,0.0
28,41,Георги,Георгиев,17.0,2,9,,,0,5.0,0,0,0,0,12.0
29,421,Даниел,СЛАВКОВ,17.0,2,11,,,0,7.0,0,0,10.0,0,0
30,295,Румен,ЙОРДАНОВ,15.0,3,11,,,0,0,10.0,0,5.0,0,0.0
31,31,Христо,МИХОВ,13.0,4,13,,,0,0.0,5.0,0,8.0,0,0.0
32,177,Николай,ФИЛЧЕВ,12.0,2,9,,,12.0,0,0,0,0,0,0.0
33,183,Иван,ТОДОРОВ,12.0,3,13,,,0,0.0,4.0,0,0,8.0,0
34,22,Павел,ГЕОРГИЕВ,12.0,2,15,,,0,6.0,0,0,0,0,6.0
