FinalPosition,RaceNumber,FirstName,LastName,TotalPoints,RacesParticipated,BestPosition,WorstResultDropped,WorstRace,Race_alba_damascena,Race_buhovo,Race_gorna_malina,Race_kirkovo,Race_kyrnare,Race_six_days,Race_stara_zagora
1,339,Ясен,ПОПОВ,114.0,5,1,,,22.0,0,20.0,22.0,25.0,25.0,0
2,70,Стоян,ПАЧАРОЗОВ,92.0,4,1,,,25.0,0,25.0,20.0,0,22.0,0
3,50,Панчо,КУЗМАНОВ,68.0,4,2,,,16.0,0,15.0,15.0,22.0,0,0
4,574,Михаил,Кръшняк,47.0,3,4,,,18.0,0,13.0,16.0,0,0,0
5,855,Руси,ТЕНЕВ,34.0,2,3,,,20.0,0,14.0,0,0,0,0
6,569,Пламен,АТАНАСОВ,33.0,2,3,,,13.0,0,0,0,0,20.0,0
7,302,Благой,ТОДОРОВ,31.0,2,5,,,15.0,0,16.0,0,0,0,0
8,303,Емил,БРАТОЕВ,26.0,2,7,,,14.0,0,12.0,0,0,0,0
9,74,Асан,ИМАМОВ,25.0,1,1,,,0,0,0,25.0,0,0,0
10,225,Иван,СПАСОВ,22.0,1,2,,,0,0,22.0,0,0,0,0
11,89,Добрин,ДОБРЕВ,18.0,1,4,,,0,0,0,0,0,18.0,0
12,129,Георги,КЪНЧЕВ,18.0,1,4,,,0,0,18.0,0,0,0,0
13,727,Ивайло,ПЕТРОВ,18.0,1,4,,,0,0,0,18.0,0,0,0
14,115,Ивайло,ЙОРДАНОВ,12.0,1,9,,,12.0,0,0,0,0,0,0
15,135,Пламен,ТЕНЕВ,11.0,1,10,,,11.0,0,0,0,0,0,0
