FinalPosition,RaceNumber,FirstName,LastName,TotalPoints,RacesParticipated,BestPosition,WorstResultDropped,WorstRace,Race_alba_damascena,Race_buhovo,Race_gorna_malina,Race_kirkovo,Race_kyrnare,Race_six_days,Race_stara_zagora
1,403,Александър,ГЕНЧЕВ,150.0,7,4,2.0,stara_zagora,11.0,8.0,16.0,11.0,10.0,94.0,2.0
2,281,Захари,ШЕНТОВ,144.0,7,1,18.0,stara_zagora,22.0,25.0,25.0,25.0,25.0,22.0,18.0
3,170,Стефан,МОЧЕВ,126.0,6,1,,,25.0,10.0,22.0,22.0,22.0,25.0,0
4,253,Виктор,Христов,124.0,2,52,,,0.0,0,0,0,0,124.0,0
5,66,Иван,КЕРАНДЖИЕВ,120.0,7,2,,kyrnare,18.0,22.0,22.0,18.0,0.0,20.0,20.0
6,285,Николай,ДИМИТРОВ,97.0,7,3,,kyrnare,20.0,18.0,15.0,13.0,0.0,18.0,13.0
7,920,Anders,Wretblad,95.0,1,0,,,0,0,0,0,0,95.0,0
8,908,Здравко,ГИНОВ,90.0,5,1,,,16.0,20.0,0,16.0,13.0,0,25.0
9,328,Николай,ТАКУЧЕВ,88.0,6,3,,,15.0,13.0,14.0,20.0,14.0,0,12.0
10,76,Мартин,ХРИСТЕВ,72.0,6,5,,,10.0,14.0,11.0,15.0,0,16.0,6.0
11,717,Иво,ГЕОРГИЕВ,55.0,2,27,,,0,0,0,0,0,55.0,0.0
12,906,Виктор,ПЕТРОВ,50.0,4,2,,,0,0,13.0,0,0.0,15.0,22.0
13,611,Емил,Балин,48.0,5,8,,,5.0,11.0,12.0,9.0,0,0,11.0
14,878,Ален,МИРЧЕВ,46.0,3,5,,,0,15.0,0,0,16.0,0,15.0
15,184,Денис,АСЕНОВ,45.0,5,7,,,14.0,0.0,0,0,9.0,14.0,8.0
16,109,Мартин,ЛЮБЕНОВ,43.0,6,8,,,3.0,9.0,8.0,10.0,0.0,13.0,0
17,16,Нейтън,ДИМИТРОВ,38.0,6,7,,,6.0,0,0.0,14.0,8.0,10.0,0.0
18,327,Борислав,БОЖИЛОВ,36.0,3,5,,,0,16.0,4.0,0,0,0,16.0
19,182,Александър,ДИМИТРОВ,35.0,6,8,,,13.0,0.0,10.0,7.0,1.0,4.0,0
20,91,Боян,МЛАДЕНОВ,34.0,6,9,,,8.0,0.0,0,12.0,0.0,11.0,3.0
21,101,Яна,КИРОВА,34.0,6,35,,,0.0,0.0,0.0,0.0,0.0,34.0,0
22,909,Мартин,ГИНОВ,29.0,6,11,,,9.0,0.0,0,3.0,0.0,7.0,10.0
23,238,Пламен,КОВАЧЕВ,27.0,4,6,,,0,0.0,3.0,0,15.0,0,9.0
24,37,Мартин,БЪЧВАРОВ,27.0,5,7,,,0.0,4.0,9.0,0,0.0,0,14.0
25,236,Любомир,ИВАНОВ,20.0,1,3,,,0,0,0,0,20.0,0,0
26,152,Кристиян,МАНДЕВСКИ,19.0,5,9,,,0.0,2.0,0.0,5.0,0,12.0,0
27,980,Славчо,ШОПОВ,18.0,1,4,,,0,0,0,0,18.0,0,0
28,42,Илиян,ИЛИЕВ,18.0,6,14,,,2.0,0.0,0,4.0,7.0,5.0,0.0
29,90,Радослав,ДЖАДЖАРОВ,16.0,3,12,,,0,0,0,0,2.0,9.0,5.0
30,290,Иван,МАРИНОВ,15.0,3,14,,,4.0,0,0,0,4.0,0,7.0
31,124,Илиян,ЖИВКОВ,12.0,1,9,,,0,0,0,0,12.0,0,0
32,301,Николай,СИМЕОНОВ,12.0,2,9,,,0,12.0,0,0,0,0,0.0
33,259,Томислав,ХАЛВАДЖИЕВ,12.0,3,9,,,12.0,0,0,0,0.0,0,0.0
34,359,Християн,ПЕЙЧЕВ,12.0,3,10,,,1.0,0,0,0,11.0,0,0.0
35,357,Адриан,ЙОРДАНОВ,12.0,3,13,,,0,5.0,7.0,0,0.0,0,0
36,373,Йордан,ЙОРДАНОВ,8.0,1,13,,,0,0,0,0,0,8.0,0
37,444,Атанас,ТАТАРОВ,8.0,4,13,,,0.0,0.0,0.0,8.0,0,0,0
38,374,Станислав,МИКОВ,8.0,3,14,,,0,7.0,0,0,0.0,0,1.0
39,968,Ивайло,МИНОВ,8.0,3,15,,,0.0,0,0,6.0,0,2.0,0
40,140,Дамян,ГЕОРГИЕВ,7.0,4,14,,,7.0,0.0,0.0,0,0,0,0.0
41,371,Цветолюб,ЦАНОВ,7.0,4,14,,,0.0,0.0,6.0,0,0,1.0,0
42,950,Георги,ГОДОВ,7.0,4,15,,,0.0,6.0,1.0,0,0,0,0.0
43,402,Константин,ГЕНЧЕВ,7.0,7,18,,kyrnare,0.0,1.0,2.0,1.0,0.0,3.0,0.0
44,777,Антон,АНТОНОВ,6.0,4,15,,,0.0,0.0,0.0,0,0,6.0,0
45,966,Марио,МИЛЕНКОВ,6.0,3,15,,,0,0,0.0,0,6.0,0,0.0
46,237,Пепи,ГАВРИЛОВ,5.0,4,15,,,0,0.0,5.0,0.0,0,0,0.0
47,535,Иван,СЕЙМЕНОВ,5.0,2,16,,,0,0,0.0,0,5.0,0,0
48,215,Валентин,ВЛАДИМИРОВ,5.0,5,18,,,0.0,3.0,0.0,2.0,0,0,0.0
49,96,Илиан,ДИМИТРОВ,4.0,3,17,,,0.0,0,0.0,0,0,0,4.0
