FinalPosition,RaceNumber,FirstName,LastName,TotalPoints,RacesParticipated,BestPosition,WorstResultDropped,WorstRace,Race_alba_damascena,Race_buhovo,Race_gorna_malina,Race_kirkovo,Race_kyrnare,Race_six_days,Race_stara_zagora
1,775,Георги,ВЪЛЕВ,147.0,6,1,,,22.0,25.0,25.0,25.0,25.0,25.0,0
2,728,Никола,ТЕРЗИЕВ,136.0,6,1,,,25.0,22.0,22.0,22.0,0,20.0,25.0
3,235,Даниел,ВАСИЛЕВ,124.0,7,2,18.0,alba_damascena,18.0,20.0,20.0,20.0,20.0,22.0,22.0
4,913,Мирослав,КЕРАНДЖИЕВ,104.0,7,2,15.0,alba_damascena,15.0,16.0,16.0,16.0,22.0,16.0,18.0
5,282,Александър,ПИРИШАНЧИН,103.0,6,4,,,16.0,18.0,15.0,18.0,18.0,18.0,0
6,665,Иван,ИВАНОВ,87.0,5,3,,,20.0,15.0,18.0,0,0,14.0,20.0
7,521,Адриан,ЦЕКОВ,40.0,3,6,,,14.0,0,11.0,0,0,15.0,0
8,735,Радослав,ЗЛАТАНОВ,30.0,2,5,,,0,0,0,14.0,16.0,0,0
9,143,Мехмед,ЛАПАНД,28.0,2,7,,,0,14.0,14.0,0,0,0,0
10,366,Теодор,СТОИЧКОВ,25.0,2,6,,,0,0,10.0,15.0,0,0,0
11,166,Иван,ЧАКЪРОВ,24.0,2,8,,,13.0,11.0,0,0,0,0,0
12,155,Петър,КРАЧУНОВ,23.0,2,9,,,0,0,12.0,0,0,11.0,0
13,355,Митко,ДИМИТРОВ,15.0,1,6,,,0,0,0,0,15.0,0,0
14,71,Алекс,АТАНАСОВ,13.0,1,8,,,0,0,13.0,0,0,0,0
15,940,Валентин,ЧЕРКЕЗОВ,13.0,1,8,,,0,13.0,0,0,0,0,0
16,265,Йордан,ЧИФУТСКИ,13.0,1,8,,,0,0,0,13.0,0,0,0
17,32,Йоан,ПАЧАРОЗОВ,12.0,1,9,,,0,0,0,12.0,0,0,0
18,726,Александър,ТОТЕВ,12.0,1,9,,,0,12.0,0,0,0,0,0
19,127,Явлен,Иванов,10.0,1,11,,,0,10.0,0,0,0,0,0
