Поз,Ст.№,Състезател,Мотор,Отбор,Време,Старт,GPS,CP,Об.,Точки,Тотал,Изоставане
1,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,04:12:17,09:39:00,13:51:17,,1,25,4:12:17.2,0
2,125,Десислав ЦЕКОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,04:31:15,09:34:00,14:05:15,,1,22,4:31:15.7,18:58.5
3,83,Лъчезар ВУНЧЕВ,GasGas 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,04:45:59,09:35:00,14:20:59,,1,20,4:45:59.3,33:42.1
4,411,Калоян ТОТЕВ,KTM EXC 300,МСК БАБИЧКА РЕЙСИНГ,04:51:12,09:34:30,14:25:42,,1,18,4:51:12.0,38:54.8
5,123,Димитър ЧУКУРОВ,Husqvarna TX300,ЕК ЛУДА РАБОТА,05:00:09,09:35:30,14:35:39,,1,16,5:00:09.1,47:51.9
6,292,Светослав ХРИСТОВ,ktm 250,СК КЪРТАЧИТЕ,05:01:41,09:34:00,14:35:41,,1,15,5:01:41.0,49:23.8
7,666,Цветан ДЕНЕВ,KTM 300 EXC,АЛБА ДАМАСЦЕНА МСК,05:24:58,09:34:30,14:59:28,,1,14,5:24:58.7,1:12:41.5
8,51,Марио ЗАРОВ,GASGAS EC300i,МСК ХАРД РАЙДЪРС,05:27:40,09:36:00,15:03:40,,1,13,5:27:40.3,1:15:23.1
9,817,Борис КОЦЕВ,KTM SX 300 TBI,МСК ХАРД РАЙДЪРС,05:32:37,09:38:30,15:11:07,,1,12,5:32:37.9,1:20:20.7
10,862,Иво ГЕОРГИЕВ,GASGAS EC300i,BulDock ROCKETS,05:26:10,09:38:00,15:04:10,00:30:00,1,11,5:56:10.4,1:43:53.2
11,188,Ивелин ИВАНОВ,Гас Гас ЕС 300,АЛБА ДАМАСЦЕНА МСК,06:24:58,09:35:00,15:59:58,,1,10,6:24:58.3,2:12:41.1
12,765,Максим ИВАНОВ,Husaberg FE450,СК КЪРТАЧИТЕ,07:43:32,09:36:30,17:20:02,,1,9,7:43:32.0,3:31:14.8
DNF,31,Христо МИХОВ,,МСК ХАРД РАЙДЪРС,4:47:23.1,,,,,0,,
DNF,60,Христо КОЧОВ,,СК КЪРТАЧИТЕ,,,,,,0,,
DNF,74,Асан ИМАМОВ,,ЕНДУРО КЛУБ КОРНИЦА,,,,,,0,,
DNF,79,Павел ИВАНОВ,,СК КЪРТАЧИТЕ,5:23:27.4,,,,,0,,
DNF,139,Валентин МИНКОВ,,АЛБА ДАМАСЦЕНА МСК,,,,,,0,,
DNF,153,Станислав СТОЯНОВ,,ЕК ЛУДА РАБОТА / CRAZ,,,,,,0,,
DNF,207,Момчил ТОДОРОВ,,"МСК ""ПРЕПАРАТОРИТЕ -",,,,,,0,,
DNF,227,Венелин ВИДЕНОВ,,МСК ХАРД РАЙДЪРС,,,,,,0,,
DNF,905,Цветелин КОСТАДИНОВ,,НК ЕНДУРО ВИКТОРИ,,,,,,0,,
DNF,911,Тодор КОЧЕШЕВ,,ЕНДУРО КЛУБ СЕВТОПОЛ,,,,,,0,,
