year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ПРОФИ,FIN,1,19,Любомир ИВАНОВ,KTM 330,МСК ПРЕПАРАТОРИТЕ,03:06:58,,,1,3:06:58.6,10:15:00,13:21:58,25,0,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ПРОФИ,FIN,2,666,Цветан ДЕНЕВ,KTM 300 EXC,АЛБА ДАМАСЦЕНА МСК,04:17:54,,,1,4:17:54.5,10:16:30,14:34:24,22,1:10:55.9,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ПРОФИ,FIN,3,212,Мартин ПЕТКОВ,KTM EXC 300,АЛБА ДАМАСЦЕНА МСК,04:07:48,00:30:00,,1,4:37:48.8,10:16:00,14:23:48,20,1:30:50.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ПРОФИ,FIN,4,333,МЕДИ ЛОШЕВ,Husqvarna 300,МСК ШАРП РАЙДЪРС,04:51:32,01:00:00,,1,5:51:32.7,10:17:30,15:09:02,18,2:44:34.1,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ПРОФИ,FIN,5,26,Георги ТОПАЛОВ,Husqvarna Te 300i,WINBET Hard Riders,05:43:43,00:30:00,,1,6:13:43.6,10:17:00,16:00:43,16,3:06:45.0,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ПРОФИ,DNF,,30,Илиян КУЗМАНОВ Honda,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ПРОФИ,DNF,,330,Мартин МАРИНОВ Beta 300 RR 15:00.2,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,1,125,Десислав ЦЕКОВ,Husqvarna TX300,WINBET Hard Riders,01:53:39,,,1,1:53:39.2,10:30:30,12:24:09,25,0,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,2,101,Дурмушали САИДХОДЖА,husqvarna te 300,МСК ШАРП РАЙДЪРС,01:58:36,,,1,1:58:36.8,10:31:30,12:30:06,22,4:57.6,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,3,715,Христо ГЕОРГИЕВ,KTM 300,ЕК ЛУДА РАБОТА,02:00:38,,,1,2:00:38.7,10:31:00,12:31:38,20,6:59.5,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,4,102,Атанас АНГЕЛОВ,Husqvarna TE300i,WINBET Hard Riders,02:04:05,,,1,2:04:05.4,10:30:00,12:34:05,18,10:26.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,5,611,Светлин ИВАНОВ,Husqvarna FX350,WINBET Hard Riders,02:09:21,,,1,2:09:21.4,10:33:00,12:42:21,16,15:42.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,6,63,Милен НИКОЛОВ,Husqvarna 300,МСК ШАРП РАЙДЪРС,02:12:24,,,1,2:12:24.1,10:32:30,12:44:54,15,18:44.9,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,7,464,Иван САРПИОНОВ,KTM EXC 350,WINBET Hard Riders,02:18:45,,,1,2:18:45.5,10:33:30,12:52:15,14,25:06.3,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,8,250,Александър ПОПМИНЧЕВ,Husqvarna,АЛБА ДАМАСЦЕНА МСК,02:41:31,,,1,2:41:31.7,10:32:00,13:13:31,13,47:52.5,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,9,42,Илиян ИЛИЕВ,Beta 300,СК ЕКСТРИЙМ РЕЙСИНГ,03:04:34,,,1,3:04:34.3,10:36:00,13:40:34,12,1:10:55.1,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,10,123,Димитър ЧУКУРОВ,KTM 500 EXC,ЕК ЛУДА РАБОТА,03:06:54,,,1,3:06:54.9,10:34:30,13:41:24,11,1:13:15.7,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,11,99,Светослав МАРИНОВ,Beta 300 RR,МСК ЕНДУРО СЕВЛИЕВО,02:38:02,00:30:00,,1,3:08:03.0,10:35:30,13:13:32,10,1:14:23.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,12,31,Христо МИХОВ,KTM 450,МСК БАБИЧКА РЕЙСИНГ,03:12:19,,,1,3:12:19.7,10:36:30,13:48:49,9,1:18:40.5,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,13,56,Станимир ДЯКОВ,Beta 300 rr,ЕК ЛУДА РАБОТА,03:14:50,,,1,3:14:50.3,10:37:30,13:52:20,8,1:21:11.1,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,14,25,Бижо БИЖЕВ,KTM 300 EXC,WINBET Hard Riders,03:33:06,,,1,3:33:06.3,10:38:00,14:11:06,7,1:39:27.1,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,15,916,Росен ЖЕЛЯЗКОВ,Husqvarna 300,СК РАЙД ЕНДУРО ЕООД,03:33:14,,,1,3:33:14.4,10:40:30,14:13:44,6,1:39:35.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,16,48,Мариян МИТЕВ,Ktm 250 exc,АЛБА ДАМАСЦЕНА МСК,03:18:14,00:30:00,,1,3:48:14.2,10:34:00,13:52:14,5,1:54:35.0,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,17,172,Михаил ПЕТРОВ,Ktm 200 exc,МСК ПРЕПАРАТОРИТЕ,04:08:54,,,1,4:08:54.3,10:39:00,14:47:54,4,2:15:15.1,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,18,412,Цветан МИХАЙЛОВ,Honda CRM 250,МСК СБ МОТО РЕЙСИНГ ТИЙ,04:10:08,,,1,4:10:08.0,10:40:00,14:50:08,3,2:16:28.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,FIN,19,979,Саво ВЕНКОВ,Хускварна 300,МОТО ДРУЖИНА БАНСКО,03:55:00,00:30:00,,1,4:25:00.6,10:35:00,14:30:00,2,2:31:21.4,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,DNF,,219,Свилен СЛАВОВ KTM EXC 450,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЕКСПЕРТ,DNF,,404,Марин БИЛБИЛЕВ Yamaha YZ 450,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,1,74,Асан ИМАМОВ,KTM 300,ЕНДУРО КЛУБ КОРНИЦА,02:10:00,,,1,2:10:00.1,10:19:30,12:29:30,25,0,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,2,5,Радостин ГЕОРГИЕВ,KTM 300,ЕК ЛУДА РАБОТА,02:13:55,,,1,2:13:55.9,10:20:00,12:33:55,22,3:55.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,3,523,Георги ДАМЯНОВ,Husqvarna te 300,WINBET Hard Riders,02:17:07,,,1,2:17:07.2,10:19:00,12:36:07,20,7:07.1,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,4,70,Стоян ПАЧАРОЗОВ,KTM 200,МСК ЕКС ЕНДУРО КЪРНАРЕ,02:09:01,00:30:00,,1,2:39:02.0,10:20:30,12:29:31,18,29:01.9,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,5,909,Данчо ЙОРДАНОВ,KTM 300,ЕК ЛУДА РАБОТА,03:11:45,,,1,3:11:45.9,10:23:30,13:35:15,16,1:01:45.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,6,225,Иван СПАСОВ,KTM 300,СК КЪРТАЧИТЕ,04:12:15,,,1,4:12:15.5,10:22:00,14:34:15,15,2:02:15.4,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,7,135,Пламен ТЕНЕВ,Husqvarna TE300,WINBET Hard Riders,03:48:34,00:30:00,,1,4:33:34.9,10:22:30,14:11:04,14,2:23:34.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,FIN,8,50,Панчо КУЗМАНОВ,Honda CR 250,СК АФГ ТИМ,04:34:08,,,1,4:49:08.3,10:21:00,14:55:08,13,2:39:08.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,DNF,,75,Ради ПОПМИНЧЕВ KTM,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СЕНЬОРИ,DNF,,303,Емил БРАТОЕВ KTM 300 EXC 4:42:37.8,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,1,140,Ерай РЕМЗИ,Beta 300rr,АЛБА ДАМАСЦЕНА МСК,01:32:49,,,1,1:32:49.5,10:43:30,12:16:19,25,0,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,2,276,Гюннур ХОДЖА,HUSQVARNA 300,АЛБА ДАМАСЦЕНА МСК,01:38:14,,,1,1:38:14.7,10:42:30,12:20:44,22,5:25.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,3,62,Богдан МИТОВ,ЕХЦ 500,МСК ЕКС ЕНДУРО КЪРНАРЕ,01:47:18,,,1,1:47:18.0,10:51:30,12:38:48,20,14:28.5,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,4,518,Камен ДОЧЕВ,KTM 350 EXC-F,МСК ЕНДУРО СЕВЛИЕВО,01:20:37,00:30:00,,1,1:50:37.3,10:42:00,12:02:37,18,17:47.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,5,9,Иван МИНКОВ,Husqvarna TX300,МСК ЕКС ЕНДУРО КЪРНАРЕ,01:22:57,00:30:00,,1,1:52:57.1,10:43:00,12:05:57,16,20:07.6,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,6,311,Недялко БОЧЕВ,ЕХЦ 300,МСК ЕКС ЕНДУРО КЪРНАРЕ,01:58:35,,,1,1:58:35.1,10:47:00,12:45:35,15,25:45.6,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,7,163,Франц ИВАНОВ,Gas Gas EC250,СК ЕНДУРО ЕКСТРИЙМ СОПО,02:01:55,,,1,2:01:55.1,10:48:00,12:49:55,14,29:05.6,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,8,181,Иван МИХОВ,yamaha yz 450,WINBET Hard Riders,02:07:03,,,1,2:07:03.3,10:46:00,12:53:03,13,34:13.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,9,89,Добрин ДОБРЕВ,Husqvarna TE300i,АЛБА ДАМАСЦЕНА МСК,02:08:25,,,1,2:08:25.9,10:44:30,12:52:55,12,35:36.4,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,10,660,Валентин АРАБОВ,KTM SX 300,КРОС КЛУБ КИРКОВО,02:08:30,,,1,2:08:30.2,10:49:00,12:57:30,11,35:40.7,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,11,196,Калоян НИКОЛОВ,Husqvarna tx300,МСК ХАРД ЕНДУРО ПЛЕВЕН,02:11:10,,,1,2:11:10.3,10:48:30,12:59:40,10,38:20.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,12,15,Мартин МАРИНОВ,Yamaha YZ 125,МОТОКЛУБ МАРИЦА РЕЙСИНГ,02:13:13,,,1,2:13:13.6,10:46:30,12:59:43,9,40:24.1,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,13,113,Васил ПЕТКОВ,Гармин 78,ЕК ЛУДА РАБОТА,01:48:40,00:30:00,,1,2:18:40.3,10:45:30,12:34:10,8,45:50.8,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,14,323,Христо ДИМИТРОВ,Ktm 300 six days,АЛБА ДАМАСЦЕНА МСК,01:43:01,01:00:00,,1,2:43:01.7,10:44:00,12:27:01,7,1:10:12.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,FIN,15,76,Иван ИВАНОВ,Husaberg Fe 390,WINBET Hard Riders,05:21:38,,,1,5:36:38.7,10:49:30,16:11:08,6,4:03:49.2,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,DNF,,61,Христо ДИМОВ KTM 350 sxf 2:03:41.6,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,DNF,,66,Добромир КОЙЧЕВ KTM,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,DNF,,162,Виктор КАРАЧЕВ KTM Sx-F 3:19:05.4,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,DNF,,190,Кирил НАЧЕВ KTM exc300,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,DNF,,220,Павлин МАРИНОВ Yamaha yzf 250,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,DNF,,494,Антон НАНЕВ KTM,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,СТАНДАРТ,DNF,,995,Еркан ЙОНКОВ KTM EXC 250 E 2:10:09.0,,,,,,,,,,,,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЖЕНИ,FIN,1,921,Петя ЯКОВА,KTM FREERIDE 350cc,МСК ЕКС ЕНДУРО КЪРНАРЕ,02:09:25,01:00:00,,1,3:09:26.0,10:55:00,13:04:25,25,0,
2020,hard_enduro_sopot-2020-day1.pdf,Сопот 2020,1,ЖЕНИ,FIN,2,55,Денка ЙОРДАНОВА,KTM 350 EXC,СК ЕКСТРИЙМ РЕЙСИНГ,03:35:27,,,1,3:35:27.3,10:54:30,14:29:57,22,26:01.3,
