year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:26:19,,,1,3:26:19.1,11:11:00,14:37:19,25,0,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,2,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,03:50:58,,,1,3:50:58.0,11:10:00,15:00:58,22,24:38.9,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,3,1,Любомир ИВАНОВ,GasGas Ec300i,МСК ПРЕПАРАТОРИТЕ,03:30:25,,,1,4:00:25.2,11:10:30,14:40:55,20,34:06.1,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,4,212,Мартин ПЕТКОВ,HUSQVARNA TE300I,СК ЕКСТРИЙМ РЕЙСИНГ,04:11:39,,,1,4:11:39.9,11:11:30,15:23:09,18,45:20.8,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,5,94,Димитър ЦВЕТКОВ,KTM 450 EXC,НАЦИОНАЛЕН КЛУБ ЕНДУРО,03:54:22,,,1,4:24:22.5,11:14:30,15:08:52,16,58:03.4,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,6,441,Мартин ЙОРДАНОВ,Husqvarna 300te,МСК ХАРД РАЙДЪРС,04:40:19,,,1,4:40:19.0,11:13:30,15:53:49,15,1:13:59.9,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,7,333,Меди ЛОШЕВ,Husqvarna 300,МСК ШАРП РАЙДЪРС,04:43:25,,,1,4:43:25.6,11:13:00,15:56:25,14,1:17:06.5,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,8,330,Мартин СЪБЧЕВ,Beta 300 RR,МСК ЕНДУРО СЕВЛИЕВО,04:28:07,,,1,4:58:08.1,11:14:00,15:42:07,13,1:31:49.0,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,9,26,Георги ТОПАЛОВ,Husqvarna TX 300i,МСК ХАРД РАЙДЪРС,04:29:37,,,1,4:59:37.9,11:12:30,15:42:07,12,1:33:18.8,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,10,193,Кольо МАРКОВ,КТМ 300 ЕХЦ,АЛБА ДАМАСЦЕНА-МСК,04:29:49,,,1,4:59:49.5,11:12:00,15:41:49,11,1:33:30.4,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,11,251,Георги ГЕОРГИЕВ,Beta 300,СК ЕКСТРИЙМ РЕЙСИНГ,05:01:57,,,1,5:31:57.7,11:15:00,16:16:57,10,2:05:38.6,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,FIN,12,203,Веско ПАСПАЛЕВ,Husqvarna,НК ЕНДУРО ВИКТОРИ,05:11:40,00:40:00,,1,5:51:40.8,11:16:00,16:27:40,9,2:25:21.7,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ПРОФИ,DNF,,165,Лъчезар БЛИЗНАКОВ KTM 500 EXC 5:03:33.0,,,,,,,,,,,,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,1,112,Станислав КИРИЛОВ,Husqvarna,МСК ХАРД РАЙДЪРС,02:46:08,,,1,2:46:08.8,10:32:00,13:18:08,25,0,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,2,125,Десислав ЦЕКОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,03:00:40,,,1,3:00:40.4,10:36:30,13:37:10,22,14:31.6,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,3,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,02:57:41,00:03:00,,1,3:00:41.8,10:32:30,13:30:11,20,14:33.0,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,4,102,Атанас АНГЕЛОВ,Husqvarna TE300i,МСК ХАРД РАЙДЪРС,03:02:01,,,1,3:02:11.7,10:38:00,13:40:01,18,16:02.9,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,5,69,Михаил МИТОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:05:37,,,1,3:05:37.7,10:37:30,13:43:07,16,19:28.9,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,6,400,Иван ГЕНЧЕВ,Sherco 300 se,АЛБА ДАМАСЦЕНА -МСК,03:06:06,,,1,3:06:06.6,10:37:00,13:43:06,15,19:57.8,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,7,232,Мирослав СТОЯНОВ,KTM 350 sxf,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,03:06:14,,,1,3:06:14.3,10:34:00,13:40:14,14,20:05.5,
2021,hard_enduro_bansko-2021-day1.pdf,Банско 2021,1,ЕКСПЕРТ,FIN,8,518,Камен ДОЧЕВ,Sherco 300,МСК ЕНДУРО СЕВЛИЕВО,03:06:17,,,1,3:06:17.0,10:38:30,13:44:47,13,20:08.2,
