year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,FIN,1,1,Любомир ИВАНОВ,GasGas Ec300i,МСК ПРЕПАРАТОРИТЕ,03:41:50,,,1,3:41:50.5,10:00:00,13:41:50,25,0,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:07:59,,,1,4:07:59.5,10:01:00,14:08:59,22,26:09.0,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,FIN,3,212,Мартин ПЕТКОВ,HUSQVARNA TE300I,СК ЕКСТРИЙМ РЕЙСИНГ,05:42:43,,,1,5:42:43.9,10:01:30,15:44:13,20,2:00:53.4,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,FIN,4,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,06:12:38,,,1,6:12:38.9,10:00:30,16:13:08,18,2:30:48.4,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,FIN,5,94,Димитър ЦВЕТКОВ,KTM 450 EXC,НАЦИОНАЛЕН КЛУБ ЕНДУРО,06:54:06,,,1,6:54:06.4,10:03:30,16:57:36,16,3:12:15.9,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,FIN,6,333,Меди ЛОШЕВ,Husqvarna 300,МСК ШАРП РАЙДЪРС,07:26:03,,,1,7:26:03.0,10:02:30,17:28:33,15,3:44:12.5,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,FIN,7,441,Мартин ЙОРДАНОВ,Husqvarna 300te,МСК ХАРД РАЙДЪРС,07:42:33,01:00:00,,1,8:42:33.0,10:03:00,17:45:33,14,5:00:42.5,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,DNF,,165,Лъчезар БЛИЗНАКОВ KTM 500 EXC,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,DNF,,182,Bayram uysal Sherco 300 se 4:23:22.9,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,DNF,,193,Кольо МАРКОВ КТМ 300 ЕХЦ 5:28:54.5,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ПРОФИ,DNF,,203,Веско ПАСПАЛЕВ Husqvarna,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,1,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,03:11:25,,,1,3:11:25.4,10:15:00,13:26:25,25,0,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,2,199,Микаел ПАМУКЧИЕВ,KTM EXC300i,СК ЕКСТРИЙМ РЕЙСИНГ,03:32:47,,,1,3:32:47.6,10:16:30,13:49:17,22,21:22.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,3,102,Атанас АНГЕЛОВ,Husqvarna TE300i,МСК ХАРД РАЙДЪРС,03:42:08,,,1,3:42:08.7,10:18:00,14:00:08,20,30:43.3,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,4,518,Камен ДОЧЕВ,Sherco 300,МСК ЕНДУРО СЕВЛИЕВО,03:45:38,,,1,3:45:38.3,10:17:00,14:02:38,18,34:12.9,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,5,131,Борис ЧАКЪРОВ,KTM 300 EXC,МСК МОТО ДРУЖИНА БАНСК,03:51:28,,,1,3:51:28.4,10:19:30,14:10:58,16,40:03.0,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,6,611,Светлин ИВАНОВ,Husqvarna FX350,МСК БС РЕЙСИНГ ТИЙМ,03:52:39,,,1,3:52:39.2,10:23:30,14:16:09,15,41:13.8,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,7,817,Борис КОЦЕВ,KTM EXC300,МСК ХАРД РАЙДЪРС,03:59:14,,,1,3:59:14.6,10:23:00,14:22:14,14,47:49.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,8,117,Димитър ХРИСТОВ,husaberg te300,МСК ХАРД РАЙДЪРС,04:12:42,,,1,4:12:42.6,10:20:00,14:32:42,13,1:01:17.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,9,613,Светослав ПАШЕВ,HUSQVARNA 300TE,МСК ХАРД РАЙДЪРС,04:22:32,,,1,4:22:32.4,10:24:30,14:47:02,12,1:11:07.0,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,10,299,Йордан КОВАЧЕВ,husqvarna 300,МСК МОТО ДРУЖИНА БАНСК,04:26:41,,,1,4:26:41.6,10:36:00,15:02:41,11,1:15:16.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,11,979,Саво ВЕНКОВ,Хускварна 300,МСК ПРЕПАРАТОРИТЕ,04:29:23,,,1,4:29:23.0,10:28:30,14:57:53,10,1:17:57.6,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,12,400,Иван ГЕНЧЕВ,Sherco 300 se,АЛБА ДАМАСЦЕНА -МСК,04:29:31,,,1,4:29:31.2,10:17:30,14:47:01,9,1:18:05.8,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,13,411,Калоян ТОТЕВ,КТМ TPI 300,МСК БАБИЧКА РЕЙСИНГ,04:33:39,,,1,4:33:39.6,10:30:30,15:04:09,8,1:22:14.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,14,412,Цветан МИХАЙЛОВ,Honda CRE 250,МСК ПРЕПАРАТОРИТЕ,04:34:57,,,1,4:34:57.9,10:34:00,15:08:57,7,1:23:32.5,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,15,464,Иван САРПИОНОВ,KTM EXC 350,МСК БС РЕЙСИНГ ТИЙМ,04:37:50,,,1,4:37:50.1,10:25:30,15:03:20,6,1:26:24.7,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,16,185,Филип НАУМОВ,HUSKY TE 300,МСК ХАРД ЕНДУРО ПЛЕВЕН,04:43:26,,,1,4:43:26.1,10:21:00,15:04:26,5,1:32:00.7,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,17,393,Симеон НЕНКОВ,KTM 300 EXC,МСК МОТО ДРУЖИНА БАНСК,04:43:52,,,1,4:43:52.9,10:31:30,15:15:22,4,1:32:27.5,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,18,51,Марио ЗАРОВ,Ktm freeride 250r,МСК ХАРД РАЙДЪРС,04:44:46,,,1,4:44:46.4,10:35:30,15:20:16,3,1:33:21.0,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,19,916,Росен ЖЕЛЯЗКОВ,GASGAS 300,МСК МОТО ДРУЖИНА БАНСК,04:51:51,,,1,4:51:51.5,10:28:00,15:19:51,2,1:40:26.1,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,20,996,Теодор ТОДОРОВ,Хускварна ФЕ 350,МСК БЪРЗИЯ - МХ ЕНДУРО РЕ,04:52:34,,,1,4:52:34.6,10:29:00,15:21:34,1,1:41:09.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,21,27,Ясен ГЕОРГИЕВ,Beta 300 RR,МСК ХАРД РАЙДЪРС,04:53:15,,,1,4:53:15.1,10:27:00,15:20:15,0,1:41:49.7,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,22,83,Лъчезар ВУНЧЕВ,KTM 250,МСК БАБИЧКА РЕЙСИНГ,04:56:30,,,1,4:56:30.2,10:32:30,15:29:00,0,1:45:04.8,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,23,279,Мартин ПЕШЕВ,Husqvarna te 300i,МСК БАБИЧКА РЕЙСИНГ,05:02:58,,,1,5:02:58.1,10:31:00,15:33:58,0,1:51:32.7,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,24,214,Георги АНЧЕВ,KTM,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,05:03:48,,,1,5:03:48.7,10:42:00,15:45:48,0,1:52:23.3,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,25,93,Емил МИШЕВ,Ktm300exc,НАЦИОНАЛЕН КЛУБ ЕНДУРО,05:11:43,,,1,5:11:43.2,10:24:00,15:35:43,0,2:00:17.8,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,26,309,Иван Николов,KTM 300 EXC,М С К. Препараторите,05:19:32,,,1,5:19:32.8,10:41:30,16:01:02,0,2:08:07.4,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,27,230,Смилен КАБАКЧИЕВ,KTM 300 EXC,СК ЕКСТРИЙМ РЕЙСИНГ,05:21:31,,,1,5:21:31.9,10:40:00,16:01:31,0,2:10:06.5,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,28,250,Александър ПОПМИНЧЕВ,Хускварна,АЛБА ДАМАСЦЕНА -МСК,04:22:46,01:00:00,,1,5:22:46.3,10:18:30,14:41:16,0,2:11:20.9,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,29,292,Светослав ХРИСТОВ,Хускварна 500,ХАРД ЕНДУРО КЛУБ КЪРТАЧИ,05:31:56,,,1,5:31:56.5,10:34:30,16:06:26,0,2:20:31.1,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,30,168,Светломир БОНЕВ,Husqvarna,МСК ХАРД РАЙДЪРС,05:44:24,,,1,5:44:24.2,10:22:00,16:06:24,0,2:32:58.8,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,31,241,Веселин МИТЕВ,GASGAS EC350F,ДЖИ АР СИ МОТОРСПОРТ 20,05:51:22,,,1,5:51:22.1,10:20:30,16:11:52,0,2:39:56.7,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,32,123,Димитър ЧУКУРОВ,Husqwarna,ЕК ЛУДА РАБОТА,04:53:47,01:00:00,,1,5:53:47.3,10:26:30,15:20:17,0,2:42:21.9,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,33,304,Емилиян ЙОТОВ,KTM 300 EXC,МСК ХАРД ЕНДУРО ПЛЕВЕН,06:17:45,,,1,6:17:45.5,10:22:30,16:40:15,0,3:06:20.1,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,34,65,Никола ХРИСТОВ,KTM TPI 300,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,05:39:38,01:00:00,,1,6:39:39.0,10:25:00,16:04:38,0,3:28:13.6,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,35,201,Иван ХРИСТОВ,KTM 350 EXC-F,МСК ХАРД РАЙДЪРС,05:53:14,01:00:00,,1,6:53:14.6,10:35:00,16:28:14,0,3:41:49.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,36,219,Свилен САВОВ,KTM EXC 300,СК ЕКСТРИЙМ РЕЙСИНГ,05:56:25,01:00:00,,1,6:56:26.0,10:39:00,16:35:25,0,3:45:00.6,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,37,42,Илиян ИЛИЕВ,Beta 300,СК ЕКСТРИЙМ РЕЙСИНГ,05:57:50,01:00:00,,1,6:57:50.6,10:30:00,16:27:50,0,3:46:25.2,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,38,109,Цветомир ПАПАЗОВ,HUSQVARNA 450 FE,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,07:20:11,,,1,7:20:11.0,10:41:00,18:01:11,0,4:08:45.6,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,FIN,39,905,Цветелин КОСТАДИНОВ,Ktm exc 350,НК ЕНДУРО ВИКТОРИ,06:57:24,00:30:00,,1,7:27:24.0,10:32:00,17:29:24,0,4:15:58.6,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,4,Тодор ПАШОВ KTM 350 EXC-F,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,11,Иван ПЕЧЕВ Балкан 50,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,25,Бижо БИЖЕВ Beta 300RR,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,29,Руслан ЦВЕТАНОВ KTM sx-50,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,31,Христо МИХОВ KTM 450,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,86,Данко СЛАВОВ Бета 450 7:06:24.0,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,98,Галин ГЕОРГИЕВ KTM EXC 300,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,113,Васил ПЕТКОВ КтМ 450i,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,169,Илиян КРЪСТЕВ husqvarna te300i,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,232,Мирослав СТОЯНОВ KTM 350 sxf,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,266,Стоян ГЕОРГИЕВ Husqwarna 300 TE,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,540,Жечко ЗДРАВКОВСКИ Ктм ехс300,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,633,Камен МИЛЕВ Husqvarna TE 7:17:46.0,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,715,Христо ГЕОРГИЕВ KTM 300,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,765,Максим ИВАНОВ КТМ 350 EXC,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,845,Валентин ПЕТКОВ husqvarna te300i,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,ЕКСПЕРТ,DNF,,992,Благовест ЗДРАВКОВСКИ KTM,,,,,,,,,,,,
2021,hard_enduro_gorna-malina-2021-day1.pdf,Горна Малина 2021,1,СЕНЬОРИ,FIN,1,74,Асан ИМАМОВ,KTM,ЕНДУРО КЛУБ КОРНИЦА,03:41:52,,,1,3:41:52.8,10:07:00,13:48:52,25,0,
