year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,1,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,02:12:11,,,1,2:12:11.5,11:26:00,13:38:11,25,0,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,2,1,Любомир ИВАНОВ,GasGas Ec300i,МСК ПРЕПАРАТОРИТЕ,02:20:46,,,1,2:20:46.8,11:28:30,13:49:16,22,8:35.3,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,3,35,Искрен ГЕНОВ,Husqvarna tx300,МСК ХАРД РАЙДЪРС,02:39:13,,,1,2:39:13.0,11:30:00,14:09:13,20,27:01.5,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,4,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,02:42:40,,,1,2:42:40.9,11:26:30,14:09:10,18,30:29.4,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,5,212,Мартин ПЕТКОВ,HUSQVARNA TE300I,СК ЕКСТРИЙМ РЕЙСИНГ,03:13:16,,,1,3:13:16.5,11:28:00,14:41:16,16,1:01:05.0,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,6,193,Кольо МАРКОВ,КТМ 300 ЕХЦ,АЛБА ДАМАСЦЕНА-МСК,03:22:06,,,1,3:22:06.2,11:27:00,14:49:06,15,1:09:54.7,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,7,330,Мартин СЪБЧЕВ,Beta 300 RR,МСК ЕНДУРО СЕВЛИЕВО,03:51:56,,,1,3:51:56.7,11:30:30,15:22:26,14,1:39:45.2,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,8,333,Меди ЛОШЕВ,Husqvarna 300,МСК ШАРП РАЙДЪРС,03:54:41,,,1,3:54:41.5,11:29:30,15:24:11,13,1:42:30.0,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,9,26,Георги ТОПАЛОВ,Husqvarna TX 300i,МСК ХАРД РАЙДЪРС,03:58:09,,,1,3:58:09.7,11:29:00,15:27:09,12,1:45:58.2,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,10,441,Мартин ЙОРДАНОВ,Husqvarna 300te,МСК ХАРД РАЙДЪРС,04:39:51,,,1,4:39:51.1,11:27:30,16:07:21,11,2:27:39.6,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ПРОФИ,FIN,11,59,Марин УЗУНОВ,Husgvarna TE 300,ЕК ЛУДА РАБОТА,04:59:32,00:30:00,,1,5:29:32.1,11:31:00,16:30:32,10,3:17:20.6,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ЕКСПЕРТ,FIN,1,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,02:27:12,,,1,2:27:12.0,11:15:00,13:42:12,25,0,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ЕКСПЕРТ,FIN,2,112,Станислав КИРИЛОВ,Husqvarna,МСК ХАРД РАЙДЪРС,02:28:34,,,1,2:28:34.1,11:05:00,13:33:34,22,1:22.1,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ЕКСПЕРТ,FIN,3,131,Борис ЧАКЪРОВ,KTM 300 EXC,МСК МОТО ДРУЖИНА БАНСК,02:28:47,,,1,2:28:47.1,11:04:30,13:33:17,20,1:35.1,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ЕКСПЕРТ,FIN,4,250,Александър ПОПМИНЧЕВ,Хускварна,АЛБА ДАМАСЦЕНА -МСК,02:29:02,,,1,2:29:02.0,11:06:00,13:35:02,18,1:50.0,
2021,hard_enduro_karnare-2021-day1.pdf,Кърнаре 2021,1,ЕКСПЕРТ,FIN,5,232,Мирослав СТОЯНОВ,KTM 350 sxf,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,02:30:48,,,1,2:30:48.9,11:06:30,13:37:18,16,3:36.9,
