year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,1,23,Теодор КАБАКЧИЕВ,KTM,СК ЕКСТРИЙМ РЕЙСИНГ,03:11:51,,,1,3:11:51.3,10:06:30,13:18:21,25,0,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:32:03,,,1,3:32:03.6,10:01:00,13:33:03,22,20:12.3,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,3,35,Искрен ГЕНОВ,Husqvarna tx300,МСК ХАРД РАЙДЪРС,03:46:20,,,1,3:46:20.7,10:04:30,13:50:50,20,34:29.4,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,4,1,Любомир ИВАНОВ,GasGas Ec300i,МСК ПРЕПАРАТОРИТЕ,03:47:14,,,1,3:47:14.8,10:00:00,13:47:14,18,35:23.5,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,5,94,Димитър ЦВЕТКОВ,KTM 450 EXC,НАЦИОНАЛЕН КЛУБ ЕНДУРО,04:30:16,,,1,4:30:16.3,10:04:00,14:34:16,16,1:18:25.0,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,6,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,04:39:29,,,1,4:39:29.1,10:00:30,14:39:59,15,1:27:37.8,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,7,333,Меди ЛОШЕВ,Husqvarna 300,МСК ШАРП РАЙДЪРС,05:03:01,,,1,5:03:01.2,10:03:30,15:06:31,14,1:51:09.9,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,8,212,Мартин ПЕТКОВ,HUSQVARNA TE300I,СК ЕКСТРИЙМ РЕЙСИНГ,04:17:51,01:00:00,,1,5:17:51.7,10:02:00,14:19:51,13,2:06:00.4,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,9,26,Георги ТОПАЛОВ,Husqvarna TX 300i,МСК ХАРД РАЙДЪРС,05:28:30,,,1,5:28:30.1,10:02:30,15:31:00,12,2:16:38.8,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,10,99,Светослав МАРИНОВ,Sherco 300 SE,МСК ЕНДУРО СЕВЛИЕВО,06:23:56,,,1,6:23:56.9,10:06:00,16:29:56,11,3:12:05.6,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,11,165,Лъчезар БЛИЗНАКОВ,KTM 500 EXC,ЕНДУРО КЛУБ КОРНИЦА,06:29:07,,,1,6:29:07.2,10:05:30,16:34:37,10,3:17:15.9,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,FIN,12,193,Кольо МАРКОВ,КТМ 300 ЕХЦ,АЛБА ДАМАСЦЕНА-МСК,06:32:42,,,1,6:32:42.8,10:01:30,16:34:12,9,3:20:51.5,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,DNF,,203,Веско ПАСПАЛЕВ Husqvarna 6:52:51.9,,,,,,,,,,,,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ПРОФИ,DNF,,441,Мартин ЙОРДАНОВ Husqvarna 300te,,,,,,,,,,,,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ЕКСПЕРТ,FIN,1,112,Станислав КИРИЛОВ,Husqvarna,МСК ХАРД РАЙДЪРС,02:50:39,,,1,2:50:39.2,10:17:00,13:07:39,25,0,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ЕКСПЕРТ,FIN,2,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,02:57:34,,,1,2:57:34.3,10:17:30,13:15:04,22,6:55.1,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ЕКСПЕРТ,FIN,3,117,Димитър ХРИСТОВ,husaberg te300,МСК ХАРД РАЙДЪРС,03:02:02,,,1,3:02:02.0,10:23:30,13:25:32,20,11:22.8,
2021,hard_enduro_kornica-2021-day1.pdf,Корница 2021,1,ЕКСПЕРТ,FIN,4,199,Микаел ПАМУКЧИЕВ,KTM EXC300i,СК ЕКСТРИЙМ РЕЙСИНГ,03:06:06,,,1,3:06:06.8,10:22:00,13:28:06,18,15:27.6,
