year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,1,112,Станислав КИРИЛОВ,GAS GAS EC300,МОТО ДРУЖИНА БАНСКО,03:31:52,,0,1,3:31:52.0,10:00:30,13:32:22,25,0,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,Husqvarna TE300i,МСК ХАРД РАЙДЪРС,03:36:05,,0,1,3:36:05.6,10:02:30,13:38:35,22,4:13.6,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,3,19,Любомир ИВАНОВ,Ktm 300,МСК ПРЕПАРАТОРИТЕ,03:12:01,00:30:00,0,1,3:42:01.8,10:00:00,13:12:01,20,10:09.8,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,4,108,Атанас ДИМИТРОВ,Хонда 460,ЕНДУРО РАЙДЪРС СТАРОСЕЛ,03:47:53,,0,1,3:47:53.5,10:01:30,13:49:23,18,16:01.5,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,5,321,Генади ИЛИЕВ,GasGas EC 300i,АЛБА ДАМАСЦЕНА -МСК,04:01:25,,0,1,4:01:25.3,10:03:00,14:04:25,16,29:33.3,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,6,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,04:03:58,,0,1,4:03:58.8,10:01:00,14:04:58,15,32:06.8,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,7,94,Димитър ЦВЕТКОВ,KTM 300,НК ВИКТОРИ,04:10:16,,0,1,4:10:16.9,10:02:00,14:12:16,14,38:24.9,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,8,330,Мартин Маринов,Beta 300 RR,МСК ЕНДУРО СЕВЛИЕВО,04:15:41,,0,1,4:15:41.4,10:05:30,14:21:11,13,43:49.4,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,9,151,Николай МАНОВ,GAS GAS 300,НК ВИКТОРИ,04:33:01,,0,1,4:33:01.4,10:04:30,14:37:31,12,1:01:09.4,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,10,99,Светослав МАРИНОВ,Sherco 300 SE,МСК ЕНДУРО СЕВЛИЕВО,05:07:06,,0,1,5:07:06.4,10:05:00,15:12:06,11,1:35:14.4,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,11,916,Росен ЖЕЛЯЗКОВ,KTM 250,МОТО ДРУЖИНА БАНСКО,05:43:45,,0,1,5:43:45.5,10:04:00,15:47:45,10,2:11:53.5,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ПРОФИ,FIN,12,203,Веско ПАСПАЛЕВ,Husqvarna Te 300,НК ВИКТОРИ,04:55:05,01:00:00,0,1,5:55:05.7,10:03:30,14:58:35,9,2:23:13.7,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ЕКСПЕРТ,FIN,1,17,Богдан ЛОЛОВ,КТМ 300XC,АЛБА ДАМАСЦЕНА -МСК,02:10:01,,0,1,2:10:01.8,10:29:00,12:39:01,25,0,
2022,hard_enduro-alba-damascena-2022-day1.pdf,ALBA-DAMASCENA 2022,1,ЕКСПЕРТ,FIN,2,715,Христо ГЕОРГИЕВ,KTM 300,ЕК ЛУДА РАБОТА,02:18:07,,0,1,2:18:07.7,10:27:30,12:45:37,22,8:05.9,
