year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,1,19,Любомир ИВАНОВ,Ktm 300,МСК ПРЕПАРАТОРИТЕ,02:30:40,,0,1,2:30:40.2,10:00:00,12:30:40,25,0,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,2,112,Станислав КИРИЛОВ,GAS GAS EC300,МОТО ДРУЖИНА БАНСКО,02:35:22,,0,1,2:35:22.3,10:00:30,12:35:52,22,4:42.1,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,3,108,Атанас ДИМИТРОВ,Хонда 460,ЕНДУРО РАЙДЪРС СТАРОСЕЛ,03:02:54,,0,1,3:02:54.4,10:01:30,13:04:24,20,32:14.2,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,4,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,03:20:00,,0,1,3:20:00.2,10:01:00,13:21:00,18,49:20.0,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,5,151,Николай МАНОВ,GAS GAS 300,НК ВИКТОРИ,03:24:26,,0,1,3:24:26.7,10:04:30,13:28:56,16,53:46.5,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,6,94,Димитър ЦВЕТКОВ,KTM 300,НК ВИКТОРИ,03:25:23,,0,1,3:25:23.4,10:02:00,13:27:23,15,54:43.2,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,7,321,Генади ИЛИЕВ,GasGas EC 300i,АЛБА ДАМАСЦЕНА -МСК,03:31:10,,0,1,3:31:10.5,10:03:30,13:34:40,14,60:30.3,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,8,26,Георги ТОПАЛОВ,Husqvarna TX 300i 20,МСК ХАРД РАЙДЪРС,03:32:11,,0,1,3:32:11.2,10:02:30,13:34:41,13,1:01:31.0,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,9,203,Веско ПАСПАЛЕВ,Husqvarna Te 300,НК ВИКТОРИ,03:55:44,,0,1,3:55:44.2,10:03:00,13:58:44,12,1:25:04.0,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,FIN,10,916,Росен ЖЕЛЯЗКОВ,KTM 250,МОТО ДРУЖИНА БАНСКО,04:51:21,,0,1,4:51:21.1,10:04:00,14:55:21,11,2:20:40.9,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ПРОФИ,DNF,,95,Илиян КОЦЕВ KTM 450 EXC-F,,,,,,,,,,,,
2022,hard_enduro-bansko-2022-day1.pdf,Банско 2022,1,ЕКСПЕРТ,FIN,1,212,Мартин ПЕТКОВ,HUSQVARNA FE350,СК ЕКСТРИЙМ РЕЙСИНГ,02:25:04,,0,1,2:25:04.5,10:27:00,12:52:04,25,0,
