year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,FIN,1,112,Станислав КИРИЛОВ,GAS GAS EC300,МОТО ДРУЖИНА БАНСКО,03:32:11,,0,1,3:32:11.1,10:00:00,13:32:11,25,0,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,Husqvarna TE300i,МСК ХАРД РАЙДЪРС,04:12:39,,0,1,4:12:39.5,10:01:00,14:13:39,22,40:28.4,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,FIN,3,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,04:13:12,,0,1,4:13:12.6,10:00:30,14:13:42,20,41:01.5,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,FIN,4,94,Димитър ЦВЕТКОВ,KTM 300,НК ВИКТОРИ,05:03:57,,0,1,5:03:57.8,10:01:30,15:05:27,18,1:31:46.7,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,FIN,5,915,Байрям КЪРМАДЖИ,Husqvarna 300 tpi,АМСК АИТ РЕЙСИНГ ТИЙМ,05:25:44,,0,1,5:25:44.5,10:03:00,15:28:44,16,1:53:33.4,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,FIN,6,916,Росен ЖЕЛЯЗКОВ,KTM 250,МОТО ДРУЖИНА БАНСКО,07:03:43,,0,1,7:03:43.3,10:02:30,17:06:13,15,3:31:32.2,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,DNF,,95,Илиян КОЦЕВ KTM 450 EXC-F,,,,,,,,,,,,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ПРОФИ,DNF,,203,Веско ПАСПАЛЕВ Husqvarna Te 300,,,,,,,,,,,,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,1,97,Тихомир КЪНОВ,KTM 300,НК ВИКТОРИ,02:51:51,,0,1,2:51:51.3,10:52:00,13:43:51,25,0,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,2,17,Богдан ЛОЛОВ,КТМ 300XC,АЛБА ДАМАСЦЕНА -МСК,02:58:59,,0,1,2:58:59.0,10:52:30,13:51:29,22,7:07.7,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,3,131,Борис ЧАКЪРОВ,KTM 300 EXC,МОТО ДРУЖИНА БАНСКО,03:01:31,,0,1,3:01:31.9,10:51:00,13:52:31,20,9:40.6,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,4,93,Емил МИШЕВ,КТМ 300 ЕХС,НК ВИКТОРИ,03:02:09,,0,1,3:02:09.4,10:54:00,13:56:09,18,10:18.1,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,5,518,Камен ДОЧЕВ,Sherco 300SE,АЛБА ДАМАСЦЕНА -МСК,03:02:33,,0,1,3:02:33.0,10:54:30,13:57:03,16,10:41.7,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,6,180,Николай СЛАВОВ,KTM 300 EXC,НК ВИКТОРИ,03:04:35,,0,1,3:04:35.3,10:51:30,13:56:05,15,12:44.0,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,7,117,Димитър ХРИСТОВ,husaberg te300,МСК ХАРД РАЙДЪРС,03:08:16,,0,1,3:08:16.8,10:56:00,14:04:16,14,16:25.5,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,8,15,Мартин МАРИНОВ,КТМ ЕХС 300,СК ЕКСТРИЙМ РЕЙСИНГ,03:09:27,,0,1,3:09:27.0,10:55:00,14:04:27,13,17:35.7,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,9,715,Христо ГЕОРГИЕВ,KTM 300,ЕК ЛУДА РАБОТА,03:11:04,,0,1,3:11:04.4,10:50:30,14:01:34,12,19:13.1,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,10,18,Станислав ПОПОВ,Ktm 300 Exc,МОТО ДРУЖИНА БАНСКО,03:11:58,,0,1,3:11:58.3,10:55:30,14:07:28,11,20:07.0,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,11,11,Иван ПЕЧЕВ,KTM 300,МСК ХАРД РАЙДЪРС,03:17:32,,0,1,3:17:32.3,10:50:00,14:07:32,10,25:41.0,
2022,hard_enduro_kirkovo-2022-day1.pdf,КИРКОВО 2022,1,ЕКСПЕРТ,FIN,12,393,Симеон НЕНКОВ,KTM 300 EXC,МОТО ДРУЖИНА БАНСКО,03:22:47,,0,1,3:22:47.2,10:57:30,14:20:17,9,30:55.9,
