year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,FIN,1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:28:31,,,1,4:28:31.8,10:00:00,14:28:31,25,0,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,FIN,2,131,Борис ЧАКЪРОВ,Husqvarna TE 300,МОТО ДРУЖИНА БАНСКО,05:46:21,,,1,5:46:21.1,10:00:30,15:46:51,22,1:17:49.3,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,FIN,3,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,06:44:22,,,1,6:44:22.5,10:00:30,16:44:52,20,2:15:50.7,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,FIN,4,393,Симеон НЕНКОВ,KTM 300 EXC,МОТО ДРУЖИНА БАНСКО,06:46:15,,,1,6:46:15.0,10:01:00,16:47:15,18,2:17:43.2,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,DNF,,19,Любомир ИВАНОВ,,,,,,,,,,,,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,DNF,,117,Димитър ХРИСТОВ,,,,,,,,,,,,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,DNF,,915,Байрям КЪРМАДЖИ,,,,,,,,,,,,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ПРОФИ,DNF,,916,Росен ЖЕЛЯЗКОВ,,,,,,,,,,,,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ЕКСПЕРТ,FIN,1,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,03:19:35,,,1,3:19:35.5,10:05:30,13:25:05,25,0,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ЕКСПЕРТ,FIN,2,511,Светлин ИВАНОВ,Husqvarna TX300,МСК БС РЕЙСИНГ ТИЙМ,03:21:50,,,1,3:21:50.4,10:05:30,13:27:20,22,2:14.9,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ЕКСПЕРТ,FIN,3,811,Иван ЦОНЧЕВ,Husqvarna TE 300i,АЛБА ДАМАСЦЕНА - МСК,03:22:05,,,1,3:22:05.3,10:04:00,13:26:05,20,2:29.8,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ЕКСПЕРТ,FIN,4,15,Мартин МАРИНОВ,KTM 300 ЕХС,ЕК ЛУДА РАБОТА,03:23:19,,,1,3:23:19.6,10:04:00,13:27:19,18,3:44.1,
2023,hard_enduro-kirkovo-2023-day1.pdf,КИРКОВО 2023,1,ЕКСПЕРТ,FIN,5,94,Димитър ЦВЕТКОВ,KTM 300,НК ЕНДУРО ВИКТОРИ,03:29:26,,,1,3:29:26.0,10:04:30,13:33:56,16,9:50.5,
