year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,FIN,1,19,Любомир ИВАНОВ,Beta,МСК ПРЕПАРАТОРИТЕ,03:54:43,,,1,3:54:43.3,10:00:00,13:54:43,25,0,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:54:45,,,1,3:54:45.8,10:00:30,13:55:15,22,2.5,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,FIN,3,112,Станислав КИРИЛОВ,Gas Gas EC300,МОТО ДРУЖИНА БАНСКО,03:55:05,,,1,3:55:05.7,10:00:00,13:55:05,20,22.4,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,FIN,4,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,05:06:57,,,1,5:06:57.8,10:01:00,15:07:57,18,1:12:14.5,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,FIN,5,131,Борис ЧАКЪРОВ,Husqvarna TE 300,МОТО ДРУЖИНА БАНСКО,05:41:54,,,1,5:41:54.9,10:00:30,15:42:24,16,1:47:11.6,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,DNF,,330,Мартин МАРИНОВ Beta 300 RR,,,,,,,,,,,,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,DNF,,393,Симеон НЕНКОВ KTM 300 EXC 4:05:10.5,,,,,,,,,,,,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ПРОФИ,DNF,,916,Росен ЖЕЛЯЗКОВ Gas Gas 300 5:34:19.9,,,,,,,,,,,,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ЕКСПЕРТ,FIN,1,811,Иван ЦОНЧЕВ,Husqvarna TE 300i,АЛБА ДАМАСЦЕНА - МСК,02:22:38,,,1,2:22:38.2,10:20:00,12:42:38,25,0,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ЕКСПЕРТ,FIN,2,810,Валентин МИЛЕВ,Beta rr300,АЛБА ДАМАСЦЕНА - МСК,02:23:10,,,1,2:23:10.6,10:21:30,12:44:40,22,32.4,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ЕКСПЕРТ,FIN,3,17,Богдан ЛОЛОВ,KTM 300ЕХС,АЛБА ДАМАСЦЕНА - МСК,02:27:23,,,1,2:27:23.0,10:21:00,12:48:23,20,4:44.8,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ЕКСПЕРТ,FIN,4,15,Мартин МАРИНОВ,KTM 300 ЕХС,ЕК ЛУДА РАБОТА,02:39:55,,,1,2:39:55.2,10:20:00,12:59:55,18,17:17.0,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ЕКСПЕРТ,FIN,5,400,Иван ГЕНЧЕВ,Sherco 300 se,АЛБА ДАМАСЦЕНА - МСК,02:45:29,,,1,2:45:29.5,10:21:30,13:06:59,16,22:51.3,
2023,hard_enduro_alba-damascena-2023-day1.pdf,ENDUROX ALBA-DAMASCENA 2023,1,ЕКСПЕРТ,FIN,6,511,Светлин ИВАНОВ,Husqvarna TX300,МСК БС РЕЙСИНГ ТИЙМ,02:46:11,,,1,2:46:11.3,10:22:30,13:08:41,15,23:33.1,
