year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,FIN,1,112,Станислав КИРИЛОВ,GAS GAS EC300,МОТО ДРУЖИНА БАНСКО,03:05:41,,,1,3:05:41.7,10:00:00,13:05:41,25,0,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,FIN,2,117,Димитър ХРИСТОВ,Husqvarna te 300 tpi,МСК ХАРД РАЙДЪРС,04:00:49,,,1,4:00:49.7,10:00:00,14:00:49,22,55:08.0,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,FIN,3,916,Росен ЖЕЛЯЗКОВ,GASGAS 300,МОТО ДРУЖИНА БАНСКО,05:20:40,,,1,5:20:40.3,10:01:00,15:21:40,20,2:14:58.6,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,FIN,4,99,Светослав МАРИНОВ,Gas Gas EC300,МСК ЕНДУРО СЕВЛИЕВО,05:23:08,,,1,5:23:08.1,10:00:30,15:23:38,18,2:17:26.4,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,FIN,5,321,Генади ИЛИЕВ,GASGAS EC300i,МОТО ДРУЖИНА БАНСКО,06:24:21,,,1,6:24:21.5,10:01:00,16:25:21,16,3:18:39.8,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,DNF,,26,Георги ТОПАЛОВ Husqvarna TX 300i,,,,,,,,,,,,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,DNF,,70,Стоян ПАЧАРОЗОВ KTM 200 6:41:23.2,,,,,,,,,,,,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ПРОФИ,DNF,,915,Байрям КЪРМАДЖИ Husqvarna 300 tx 5:01:17.0,,,,,,,,,,,,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,1,17,Богдан ЛОЛОВ,КТМ 300ЕХС,АЛБА ДАМАСЦЕНА - МСК,02:35:52,,,1,2:35:52.2,10:18:30,12:54:22,25,0,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,2,97,Тихомир КЪНОВ,Ктм 300,НК ЕНДУРО ВИКТОРИ,02:36:13,,,1,2:36:13.6,10:17:00,12:53:13,22,21.4,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,3,811,Иван ЦОНЧЕВ,Husqvarna TE 300i,АЛБА ДАМАСЦЕНА - МСК,02:44:17,,,1,2:44:17.9,11:07:00,13:51:17,20,8:25.7,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,4,11,Иван ПЕЧЕВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,02:46:13,,,1,2:46:13.7,10:18:00,13:04:13,18,10:21.5,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,5,102,Атанас АНГЕЛОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,02:47:59,,,1,2:47:59.5,10:19:30,13:07:29,16,12:07.3,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,6,15,Мартин МАРИНОВ,КТМ 300 ЕХС,ЕК ЛУДА РАБОТА,02:48:40,,,1,2:48:40.3,10:17:00,13:05:40,15,12:48.1,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,7,125,Десислав ЦЕКОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,02:49:21,,,1,2:49:21.7,10:17:30,13:06:51,14,13:29.5,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,8,810,Валентин МИЛЕВ,Beta rr300,АЛБА ДАМАСЦЕНА - МСК,02:50:20,,,1,2:50:20.9,10:19:00,13:09:20,13,14:28.7,
2023,hard_enduro_sevtopolis-2023-day1.pdf,Севтополис 2023,1,ЕКСПЕРТ,FIN,9,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,02:56:15,,,1,2:56:15.4,10:20:00,13:16:15,12,20:23.2,
