year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,1,19,Любомир ИВАНОВ,BETA,МСК ПРЕПАРАТОРИТЕ,03:00:05,,0,1,3:00:05.1,10:00:00,13:00:05,25,0,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,2,112,Станислав КИРИЛОВ,GAS GAS EC300,МОТО ДРУЖИНА БАНСКО,03:16:07,,0,1,3:16:07.2,10:00:00,13:16:07,22,16:02.1,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,3,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:23:57,,0,1,3:23:57.4,10:00:30,13:24:27,20,23:52.3,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,4,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,03:24:36,,0,1,3:24:36.3,10:00:00,13:24:36,18,24:31.2,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,5,131,Борис ЧАКЪРОВ,HUSQVARNA TE 300,МОТО ДРУЖИНА БАНСКО,03:54:17,,0,1,3:54:17.2,10:01:30,13:55:47,16,54:12.1,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,6,108,Атанас ДИМИТРОВ,КТМ EXC 300,ЕНДУРО РАЙДЪРС СТАРОСЕЛ,04:33:34,,0,1,4:33:34.2,10:00:30,14:34:04,15,1:33:29.1,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,7,95,Илиян КОЦЕВ,KTM 300 TPI,НК ЕНДУРО ВИКТОРИ,04:34:22,00:30:00,0,1,5:04:22.4,10:01:30,14:35:52,14,2:04:17.3,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,8,393,Симеон НЕНКОВ,KTM 300 EXC,МОТО ДРУЖИНА БАНСКО,05:22:07,,0,1,5:22:07.6,10:02:00,15:24:07,13,2:22:02.5,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,9,845,Валентин ПЕТКОВ,husqvarna te300i,МОТО КЛУБ БОЛЯРИ,05:34:27,,0,1,5:34:27.5,10:01:00,15:35:27,12,2:34:22.4,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,10,99,Светослав МАРИНОВ,Gas Gas EC300,МСК ЕНДУРО СЕВЛИЕВО,05:57:18,,0,1,5:57:18.7,10:01:30,15:58:48,11,2:57:13.6,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,11,117,Димитър ХРИСТОВ,Husqvarna te 300 tpi,МСК ХАРД РАЙДЪРС,06:01:25,,0,1,6:01:25.9,10:02:00,16:03:25,10,3:01:20.8,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,12,26,Георги ТОПАЛОВ,Husqvarna TX 300i,МСК ХАРД РАЙДЪРС,06:27:10,,0,1,6:27:10.5,10:01:00,16:28:10,9,3:27:05.4,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,13,321,Генади ИЛИЕВ,GASGAS EC300i,МОТО ДРУЖИНА БАНСКО,06:35:30,00:30:00,0,1,7:05:30.5,10:00:30,16:36:00,8,4:05:25.4,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ПРОФИ,FIN,14,916,Росен ЖЕЛЯЗКОВ,GASGAS 300,МОТО ДРУЖИНА БАНСКО,06:36:54,00:30:00,0,1,7:06:54.7,10:01:00,16:37:54,7,4:06:49.6,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ЕКСПЕРТ,FIN,1,811,Иван ЦОНЧЕВ,Husqvarna TE 300i,АЛБА ДАМАСЦЕНА - МСК,03:00:21,,0,1,3:00:21.6,10:13:00,13:13:21,25,0,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ЕКСПЕРТ,FIN,2,94,Димитър ЦВЕТКОВ,KTM 300,НК ЕНДУРО ВИКТОРИ,03:00:38,,0,1,3:00:38.3,10:13:30,13:14:08,22,16.7,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ЕКСПЕРТ,FIN,3,15,Мартин МАРИНОВ,КТМ 300 ЕХС,ЕК ЛУДА РАБОТА,03:01:42,,0,1,3:01:42.0,10:06:00,13:07:42,20,1:20.4,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ЕКСПЕРТ,FIN,4,93,Емил МИШЕВ,Ktm300exc,НК ЕНДУРО ВИКТОРИ,03:01:45,,0,1,3:01:45.3,10:06:00,13:07:45,18,1:23.7,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ЕКСПЕРТ,FIN,5,17,Богдан ЛОЛОВ,КТМ 300ЕХС,АЛБА ДАМАСЦЕНА - МСК,03:04:17,,0,1,3:04:17.4,10:05:30,13:09:47,16,3:55.8,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ЕКСПЕРТ,FIN,6,125,Десислав ЦЕКОВ,Husqvarna TE300,МСК ХАРД РАЙДЪРС,03:05:07,,0,1,3:05:07.5,10:06:00,13:11:07,15,4:45.9,
2023,hard_enduro_stara-zagora-2023-day1.pdf,Crazy Job 2023,1,ЕКСПЕРТ,FIN,7,134,Красимир БОШНАКОВ,Ktm exc 300 tpi,ЕК ЛУДА РАБОТА,03:05:45,,0,1,3:05:45.1,10:07:30,13:13:15,14,5:23.5,
