year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,1,112,Станислав КИРИЛОВ,GAS GAS,СК БУЛДОК РОКЕТС,03:43:55,,,1,3:43:55.8,10:00:00,13:43:55,25,0,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:43:56,,,1,3:43:56.8,10:00:00,13:43:56,22,1.0,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,3,19,Любомир ИВАНОВ,Beta 300,МСК ПРЕПАРАТОРИТЕ,04:05:44,,,1,4:05:44.8,10:00:30,14:06:14,20,21:49.0,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,4,811,Иван ЦОНЧЕВ,RIEJU MR 300 PRO,АЛБА ДАМАСЦЕНА - МСК,04:17:39,,,1,4:17:39.1,10:01:00,14:18:39,18,33:43.3,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,5,393,Симеон НЕНКОВ,KTM 300 EXC,БУХОВО ЕКСТРИЙМ ТИЙМ,04:57:00,,,1,4:57:00.8,10:01:30,14:58:30,16,1:13:05.0,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,6,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,05:09:12,,,1,5:09:12.0,10:01:30,15:10:42,15,1:25:16.2,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,7,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,05:37:18,,,1,5:37:18.3,10:01:00,15:38:18,14,1:53:22.5,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,8,134,Красимир БОШНАКОВ,Ktm exc,ЕК ЛУДА РАБОТА,06:09:40,,,1,6:09:40.5,10:02:30,16:12:10,13,2:25:44.7,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,9,845,Валентин ПЕТКОВ,Ktm exc 300,МОТО КЛУБ БОЛЯРИ,06:29:48,,,1,6:29:48.2,10:02:00,16:31:48,12,2:45:52.4,
2024,hard_enduro_kornitsa-2024-day1.pdf,ХАРД ЕНДУРО КОРНИЦА 2024,1,ПРОФИ,FIN,10,99,Светослав МАРИНОВ,Tesla Y,МСК ЕНДУРО СЕВЛИЕВО,06:12:38,00:30:00,,1,6:42:38.7,10:02:00,16:14:38,11,2:58:42.9,
