year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:01:09,,,4,04:01:09.0,02:10:48,03:02:31,25,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,2,19,Любомир ИВАНОВ,Beta 300,МСК ПРЕПАРАТОРИТЕ,04:02:06,,,4,04:02:06.0,02:11:10,03:03:26,22,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,3,112,Станислав КИРИЛОВ,GAS GAS,СК БУЛДОК РОКЕТС,04:52:10,,,4,04:52:10.0,03:04:35,03:58:09,20,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,4,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,04:58:32,,,4,04:58:32.0,02:51:42,03:56:43,18,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,5,393,Симеон НЕНКОВ,KTM 300 EXC,БУХОВО ЕКСТРИЙМ ТИЙМ,05:01:46,,,4,05:01:46.0,02:52:52,03:56:59,16,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,6,134,Красимир БОШНАКОВ,Ktm exc,ЕК ЛУДА РАБОТА,05:46:45,,01:00:00,4,06:46:45.0,03:22:00,04:34:35,15,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,7,131,Борис ЧАКЪРОВ,HUSQVARNA TE 300,СК УАЙЛД ЕКСТРИЙМ РЕЙСИ,,,,2,02:51:31.0,02:03:33,02:51:31,14,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,8,40,Мирослав ХРИСТОВ,Ktm 300,АЛБА ДАМАСЦЕНА - МСК,,,,2,03:53:04.0,02:37:09,03:53:04,13,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,9,810,Валентин МИЛЕВ,Beta rr300,МСК ХАРД РАЙДЪРС,,,,2,04:01:44.0,03:06:24,04:01:44,12,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,FIN,10,636,Тома АРАБАДЖИЕВ,Beta 300,МСК - ЕНДУРО ВАРНА,,,,2,04:51:42.0,03:21:54,04:51:42,11,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ПРОФИ,DNF,,845,Валентин ПЕТКОВ,Ktm exc 300,МОТО КЛУБ БОЛЯРИ,,,,,,,,,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,1,511,Светлин ИВАНОВ,Husqvarna TX300,МСК БС РЕЙСИНГ ТИЙМ,04:53:43,,,4,04:53:43.0,02:48:00,03:52:57,25,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,2,13,Любомир СИНЕВ,Sherco FACTORY 300,СК БУЛДОК РОКЕТС,05:18:55,,,4,05:18:55.0,03:17:39,04:20:49,22,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,3,464,Иван САРПИОНОВ,KTM EXC 350,МСК БС РЕЙСИНГ ТИЙМ,05:45:57,,,4,05:45:57.0,03:23:55,04:38:06,20,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,4,347,Димитър ИЛИЕВ,Husqvarna TE 300,МСК СБ МОТО РЕЙСИНГ ТИЙ,05:51:41,,,4,05:51:41.0,03:34:40,04:45:17,18,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,5,411,Калоян ТОТЕВ,КТМ ЕХС 250,МСК БАБИЧКА РЕЙСИНГ,,,,3,04:46:35.0,03:21:12,04:46:35,16,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,6,183,Иван ТОДОРОВ,300 TPI,МСК ХАРД РАЙДЪРС,,,,3,05:02:51.0,03:33:30,05:02:51,15,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,7,217,Данаил КОСТАДИНОВ,KTM 500 EXC,МСК ХАРД РАЙДЪРС,,,,3,05:03:34.0,03:42:11,05:03:34,14,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,8,804,Александър КРЪШНЯК,GasGas EC300,ДЖИ АР СИ МОТОРСПОРТ 202,,,,2,03:29:47.0,02:21:45,03:29:47,13,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,9,64,Радослав ТРАЯНОВ,Husqvarna TE300,ЕКСТРИЙМ ЕНДУРО КРУПНИК,,,,2,03:37:33.0,02:22:26,03:37:33,12,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,10,274,Иван ЧУКУРОВ,Husqvarna TE300i,ЕК ЛУДА РАБОТА,,,,2,03:37:49.0,02:38:57,03:37:49,11,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,11,818,Радостин НИКОЛОВ,KTM 300 TBI,МОТО КЛУБ БОЛЯРИ,,,,2,03:39:07.0,02:37:17,03:39:07,10,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,12,128,Божидар КРЪСТЕВ,Beta 300 RR,ЕК СЕВТОПОЛИС,,,,2,03:40:06.0,02:35:43,03:40:06,9,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,13,400,Иван ГЕНЧЕВ,Sherco 300 se,АЛБА ДАМАСЦЕНА - МСК,,,,2,03:40:23.0,02:22:54,03:40:23,8,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,14,83,Лъчезар ВУНЧЕВ,KTM 300 EXC,ЕНДУРО ЕКСТРИЙМ БОТЕВГР,,,,2,03:41:13.0,02:47:14,03:41:13,7,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,15,57,Петър ПЕТРОВ,Gas Gas ec 300,ХАРД ЕНДУРО ПЛЕВЕН,,,,2,03:42:36.0,02:38:15,03:42:36,6,,
2024,hard_enduro_varna-2024-day1.pdf,ХАРД ЕНДУРО ВАРНА 2024,1,ЕКСПЕРТ,FIN,16,238,Пламен КОВАЧЕВ,Sherco se 300 factory,ЕК ЛУДА РАБОТА,,,,2,03:44:13.0,02:42:36,03:44:13,5,,
