year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,1,19,Любомир ИВАНОВ,Ктм 250,АЛБА ДАМАСЦЕНА МСК,05:14:18,,,1,5:14:18.1,09:02:30,14:16:48,25,0,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,2,131,Борис ЧАКЪРОВ,Husqvarna TE 300,СК УАЙЛД ЕКСТРИЙМ РЕЙСИ,05:15:56,,,1,5:15:56.8,09:01:00,14:16:56,22,1:38.7,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,3,112,Станислав КИРИЛОВ,GAS GAS,СК БУЛДОК РОКЕТС,05:18:29,,,1,5:18:29.0,09:00:30,14:18:59,20,4:10.9,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,4,134,Красимир БОШНАКОВ,KTM300TBI,ЕК ЛУДА РАБОТА,05:25:11,,,1,5:25:11.3,09:00:30,14:25:41,18,10:53.2,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,5,13,Любомир СИНЕВ,Gas Gas ec 300,СК БУЛДОК РОКЕТС,05:31:20,,,1,5:31:20.8,09:00:00,14:31:20,16,17:02.7,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,6,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,05:49:47,,,1,5:49:47.6,09:00:00,14:49:47,15,35:29.5,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,7,189,Красимир ДИМИТРОВ,КТМ 300 ТПИ,МСК ХАРД РАЙДЪРС,06:08:04,,,1,6:08:04.9,09:01:00,15:09:04,14,53:46.8,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,FIN,8,915,Байрям КЪРМАДЖИ,Husqvarna 300Tbi,СК АФГ ТИМ,07:04:56,03:00:00,,1,10:04:56.4,09:02:00,16:06:56,13,4:50:38.3,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,DNF,,40,Мирослав ХРИСТОВ,,,,,,,,,,,,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,DNF,,171,Георги ПЕТРОВ,,,,,,,,,,,,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,DNF,,217,Данаил КОСТАДИНОВ,,,,,,,,,,,,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ПРОФИ,DNF,,238,Пламен КОВАЧЕВ,,,,,,,,,,,,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,1,255,Димитър ТИНЧЕВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,02:30:39,,,1,2:30:39.8,09:18:00,11:48:39,25,0,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,2,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,02:54:00,,,1,2:54:00.9,09:18:00,12:12:00,22,23:21.1,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,3,350,Цветан АЛЕКСИЕВ,KTM 350,МСК ЕКС ЕНДУРО КЪРНАРЕ,02:59:23,,,1,2:59:23.6,09:20:00,12:19:23,20,28:43.8,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,4,400,Иван ГЕНЧЕВ,Sherco 300 se,АЛБА ДАМАСЦЕНА МСК,03:02:45,,,1,3:02:45.7,09:19:30,12:22:15,18,32:05.9,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,5,9,Константин ИВАНОВ,КТМ EXC 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:08:53,,,1,3:08:53.5,09:19:00,12:27:53,16,38:13.7,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,6,274,Иван ЧУКУРОВ,Husqvarna TЕ300,ЕК ЛУДА РАБОТА,03:09:02,,,1,3:09:02.2,09:20:30,12:29:32,15,38:22.4,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,7,118,Петър БЕНЧЕВ,Gas gas ec300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:13:48,,,1,3:13:48.5,09:21:00,12:34:48,14,43:08.7,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,8,772,Валентин РОГЛЕВ,KTM 250,СМК РИДО САМОКОВ,03:24:49,,,1,3:24:49.4,09:18:30,12:43:19,13,54:09.6,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,9,177,Николай ФИЛЧЕВ,KTM 350,МСК ЕКС ЕНДУРО КЪРНАРЕ,03:26:09,,,1,3:26:09.9,09:25:00,12:51:09,12,55:30.1,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,10,57,Петър ПЕТРОВ,Gas Gas ec 300,МСК ХАРД ЕНДУРО ПЛЕВЕН,03:33:35,,,1,3:33:35.4,09:20:00,12:53:35,11,1:02:55.6,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,11,804,Александър КРЪШНЯК,gasgas EC300,МСК НСА МОТОРСПОРТ,03:39:22,,,1,3:39:22.1,09:22:00,13:01:22,10,1:08:42.3,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,12,117,Димитър ХРИСТОВ,husaberg te300,МСК ХАРД РАЙДЪРС,03:40:33,,,1,3:40:33.8,09:22:30,13:03:03,9,1:09:54.0,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,13,567,Георги ВЕСКОВ,Ktm exc 300,МОТО ДРУЖИНА БАНСКО,03:26:01,00:15:00,,1,3:41:01.8,09:23:00,12:49:01,8,1:10:22.0,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,14,14,Георги ПЕТКОВ,КТМ EXC 300,МСК ХАРД РАЙДЪРС,03:47:32,,,1,3:47:32.8,09:24:30,13:12:02,7,1:16:53.0,
2025,endurox_alba-damascena-2025-day1.pdf,EnduroX Alba-Damascena 2025,1,ЕКСПЕРТ,FIN,15,307,Милен ДИМИТРОВ,Ктм 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:54:57,,,1,3:54:57.6,09:21:00,13:15:57,6,1:24:17.8,
