year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,FIN,1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:02:32,,,1,4:02:32.8,09:30:00,13:32:32,25,0,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,FIN,2,112,Станислав КИРИЛОВ,GAS GAS,СК БУЛДОК РОКЕТС,04:44:15,,,1,4:44:15.5,09:30:30,14:14:45,22,41:42.7,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,FIN,3,13,Любомир СИНЕВ,Gas Gas ec 300,СК БУЛДОК РОКЕТС,04:57:14,,,1,4:57:14.0,09:30:30,14:27:44,20,54:41.2,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,FIN,4,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,04:57:18,,,1,4:57:18.0,09:30:00,14:27:18,18,54:45.2,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,FIN,5,134,Красимир БОШНАКОВ,KTM300TBI,ЕК ЛУДА РАБОТА,04:59:25,,,1,4:59:25.0,09:31:30,14:30:55,16,56:52.2,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,FIN,6,393,Симеон НЕНКОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,04:59:53,,,1,4:59:53.0,09:31:00,14:30:53,15,57:20.2,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,FIN,7,189,Красимир ДИМИТРОВ,КТМ 300 ТПИ,МСК ХАРД РАЙДЪРС,06:24:15,,,1,6:24:15.0,09:31:30,15:55:45,14,2:21:42.2,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,DNF,,131,Борис ЧАКЪРОВ,,,,,,,,,,,,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,DNF,,171,Георги ПЕТРОВ,,,,,,,,,,,,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ПРОФИ,DNF,,217,Данаил КОСТАДИНОВ,,,,,,,,,,,,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ЕКСПЕРТ,FIN,1,255,Димитър ТИНЧЕВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,03:11:23,,,1,3:11:23.3,09:55:00,13:06:23,25,0,
2025,hard_enduro_buhovo-2025-day1.pdf,Hard Enduro Buhovo 2025,1,ЕКСПЕРТ,FIN,2,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,03:19:14,,,1,3:19:14.2,09:55:00,13:14:14,22,7:50.9,
