year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,01:22:19,,,1,1:22:19.9,09:32:30,10:54:49,15,0,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,2,13,Любомир СИНЕВ,Gas Gas ec 300,СК БУЛДОК РОКЕТС,01:37:37,,,1,1:37:37.6,09:31:30,11:09:07,12,15:17.7,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,3,393,Симеон НЕНКОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,01:46:39,,,1,1:46:39.0,09:30:30,11:17:09,10,24:19.1,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,4,171,Георги ПЕТРОВ,Gas Gas Ec 300,МСК ПРЕПАРАТОРИТЕ,01:51:16,,,1,1:51:16.9,09:30:30,11:21:46,9,28:57.0,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,5,217,Данаил КОСТАДИНОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,01:53:02,,,1,1:53:02.1,09:31:30,11:24:32,8,30:42.2,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,6,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,01:30:24,00:30:00,,1,2:00:24.4,09:30:00,11:00:24,7,38:04.5,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,7,134,Красимир БОШНАКОВ,KTM300TBI,ЕК ЛУДА РАБОТА,01:30:54,00:30:00,,1,2:00:54.9,09:30:00,11:00:54,6,38:35.0,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,8,131,Борис ЧАКЪРОВ,Husqvarna TE 300,СК УАЙЛД ЕКСТРИЙМ РЕЙСИ,01:31:33,00:30:00,,1,2:01:33.7,09:32:00,11:03:33,5,39:13.8,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,9,189,Красимир ДИМИТРОВ,КТМ 300 ТПИ,МСК ХАРД РАЙДЪРС,01:34:18,00:30:00,,1,2:04:19.0,09:31:00,11:05:18,4,41:59.1,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ПРОФИ,FIN,10,412,Цветан МИХАЙЛОВ,TE300i,МСК ПРЕПАРАТОРИТЕ,02:15:21,,,1,2:15:21.8,09:31:00,11:46:21,3,53:01.9,
2025,hard_enduro_gorna_malina-2025-day2.pdf,Hard Enduro Gorna Malina 2025,2,ЕКСПЕРТ,FIN,1,34,Георги ГЕОРГИЕВ,Husqvarna tpi300,ЕК ЛУДА РАБОТА,01:16:02,,,1,1:16:02.0,09:53:00,11:09:02,15,0,
