year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,FIN,1,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,03:45:40,,,1,3:45:40.8,09:30:00,13:15:40,25,0,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,FIN,2,13,Любомир СИНЕВ,Gas Gas ec 300,СК БУЛДОК РОКЕТС,04:06:27,,,1,4:06:27.9,09:30:00,13:36:27,22,20:47.1,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,FIN,3,134,Красимир БОШНАКОВ,KTM300TBI,ЕК ЛУДА РАБОТА,04:37:42,,,1,4:37:42.8,09:30:30,14:08:12,20,52:02.0,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,FIN,4,255,Димитър ТИНЧЕВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,03:56:51,01:00:00,,1,4:56:51.3,09:32:00,13:28:51,18,1:11:10.5,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,FIN,5,238,Пламен КОВАЧЕВ,Gas Gas ec 300,АЛБА ДАМАСЦЕНА МСК,05:38:16,,,1,5:38:16.7,09:31:30,15:09:46,16,1:52:35.9,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,FIN,6,217,Данаил КОСТАДИНОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,05:56:10,,,1,5:56:10.9,09:31:00,15:27:10,15,2:10:30.1,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,FIN,7,915,Байрям КЪРМАДЖИ,Husqvarna 300Tbi,СК АФГ ТИМ,04:53:54,02:00:00,,1,6:53:54.6,09:31:30,14:25:24,14,3:08:13.8,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,DNF,,34,Георги ГЕОРГИЕВ 3:34:40.7,,,,,,,,,,,,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,DNF,,272,Кристиан ПЕТРОВ 3:56:54.1,,,,,,,,,,,,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ПРОФИ,DNF,,393,Симеон НЕНКОВ 4:24:46.4,,,,,,,,,,,,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ЕКСПЕРТ,FIN,1,307,Милен ДИМИТРОВ,Ктм 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:01:30,,,1,3:01:30.7,09:53:00,12:54:30,25,0,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ЕКСПЕРТ,FIN,2,171,Георги ПЕТРОВ,Gas Gas Ec 300,МСК ПРЕПАРАТОРИТЕ,03:01:53,,,1,3:01:53.4,09:57:30,12:59:23,22,22.7,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ЕКСПЕРТ,FIN,3,294,Александър Кабакчиев,Sherco SE 250,СК ЕКСТРИЙМ РЕЙСИНГ,03:02:23,,,1,3:02:23.0,09:52:00,12:54:23,20,52.3,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ЕКСПЕРТ,FIN,4,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,03:03:21,,,1,3:03:21.1,09:51:00,12:54:21,18,1:50.4,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ЕКСПЕРТ,FIN,5,117,Димитър ХРИСТОВ,husaberg te300,МСК ХАРД РАЙДЪРС,03:04:14,,,1,3:04:14.5,09:54:00,12:58:14,16,2:43.8,
2025,hard_enduro_kirkovo_2025-day1.pdf,КИРКОВО 2025,1,ЕКСПЕРТ,FIN,6,772,Валентин РОГЛЕВ,KTM 250,СМК РИДО САМОКОВ,03:07:08,,,1,3:07:08.8,09:51:00,12:58:08,15,5:38.1,
