year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,1,112,Станислав КИРИЛОВ,GAS GAS,СК БУЛДОК РОКЕТС,04:33:18,,,1,4:33:18.0,10:04:00,14:37:18,25,0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:33:47,,,1,4:33:47.0,10:03:30,14:37:17,22,29.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,3,131,Борис ЧАКЪРОВ,Husqvarna TE 300,СК УАЙЛД ЕКСТРИЙМ РЕЙСИ,04:40:10,,,1,4:40:10.0,10:02:30,14:42:40,20,6:52.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,4,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,04:42:38,,,1,4:42:38.0,10:00:00,14:42:38,18,9:20.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,5,134,Красимир БОШНАКОВ,KTM300TBI,ЕК ЛУДА РАБОТА,04:44:01,,,1,4:44:01.0,10:01:30,14:45:31,16,10:43.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,6,13,Любомир СИНЕВ,Gas Gas ec 300,СК БУЛДОК РОКЕТС,04:51:20,,,1,4:51:20.0,10:00:30,14:51:50,15,18:02.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,7,393,Симеон НЕНКОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,05:22:27,,,1,5:22:27.0,10:02:00,15:24:27,14,49:09.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,8,189,Красимир ДИМИТРОВ,КТМ 300 ТПИ,МСК ХАРД РАЙДЪРС,06:08:00,,,1,6:08:00.0,10:04:30,16:12:30,13,1:34:42.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,FIN,9,217,Данаил КОСТАДИНОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,06:09:29,,,1,6:09:29.0,10:03:00,16:12:29,12,1:36:11.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ПРОФИ,DNF,,171,Георги ПЕТРОВ,,,,,,,,,,,,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,1,255,Димитър ТИНЧЕВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,02:47:50,,,1,2:47:50.0,10:16:00,13:03:50,25,0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,2,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,02:48:50,,,1,2:48:50.0,10:17:30,13:06:20,22,1:00.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,3,94,Димитър ЦВЕТКОВ,KTM 300,НК ЕНДУРО ВИКТОРИ,02:49:39,,,1,2:49:39.0,10:20:30,13:10:09,20,1:49.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,4,811,Иван ЦОНЧЕВ,Gas Gas Ec 300,АЛБА ДАМАСЦЕНА МСК,02:50:19,,,1,2:50:19.0,10:25:00,13:15:19,18,2:29.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,5,294,Александър Кабакчиев,Sherco SE 250,СК ЕКСТРИЙМ РЕЙСИНГ,02:55:29,,,1,2:55:29.0,10:16:30,13:11:59,16,7:39.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,6,107,Калоян ТОДОРОВ,GasGas,СК БУЛДОК РОКЕТС,02:55:32,,,1,2:55:32.0,10:16:00,13:11:32,15,7:42.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,7,34,Георги ГЕОРГИЕВ,Husqvarna tpi300,АЛБА ДАМАСЦЕНА МСК,02:56:07,,,1,2:56:07.0,10:16:30,13:12:37,14,8:17.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,8,772,Валентин РОГЛЕВ,KTM 250,СМК РИДО САМОКОВ,02:56:40,,,1,2:56:40.0,10:17:30,13:14:10,13,8:50.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,9,9,Константин ИВАНОВ,КТМ EXC 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:03:33,,,1,3:03:33.0,10:25:30,13:29:03,12,15:43.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,10,400,Иван ГЕНЧЕВ,Sherco 300 se,АЛБА ДАМАСЦЕНА МСК,03:04:44,,,1,3:04:44.0,10:23:30,13:28:14,11,16:54.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,11,421,Даниел СЛАВКОВ,Gas Gas 300,СК КЪРТАЧИТЕ,03:06:33,,,1,3:06:33.0,10:17:30,13:24:03,10,18:43.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,12,307,Милен ДИМИТРОВ,Ктм 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:06:49,,,1,3:06:49.0,10:21:00,13:27:49,9,18:59.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,13,31,Христо МИХОВ,KTM 300,МСК ХАРД РАЙДЪРС,03:08:28,,,1,3:08:28.0,10:21:30,13:29:58,8,20:38.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,14,464,Иван САРПИОНОВ,KTM EXC 300,"КЛУБ ""B&S RACING TEAM""",03:08:48,,,1,3:08:48.0,10:25:00,13:33:48,7,20:58.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,15,180,Николай СЛАВОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,03:10:16,,,1,3:10:16.0,10:22:00,13:32:16,6,22:26.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,16,295,Румен ЙОРДАНОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:11:19,,,1,3:11:19.0,10:22:30,13:33:49,5,23:29.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,17,862,Иво ГЕОРГИЕВ,GAS GAS ec 300,СК БУЛДОК РОКЕТС,03:17:29,,,1,3:17:29.0,10:19:30,13:36:59,4,29:39.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,18,51,Марио ЗАРОВ,GAS GAS ec 300,МСК ХАРД РАЙДЪРС,03:18:15,,,1,3:18:15.0,10:19:00,13:37:15,3,30:25.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,19,57,Петър ПЕТРОВ,Gas Gas ec 300,МСК ХАРД ЕНДУРО ПЛЕВЕН,03:19:58,,,1,3:19:58.0,10:26:00,13:45:58,2,32:08.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,20,201,Иван ХРИСТОВ,GASGAS EC300i,МОТО ДРУЖИНА БАНСКО,03:20:05,,,1,3:20:05.0,10:20:30,13:40:35,1,32:15.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,21,804,Александър КРЪШНЯК,gasgas EC300,МСК НСА МОТОРСПОРТ,03:21:29,,,1,3:21:29.0,10:26:00,13:47:29,0,33:39.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,22,117,Димитър ХРИСТОВ,husaberg te300,МСК ХАРД РАЙДЪРС,03:22:43,,,1,3:22:43.0,10:22:30,13:45:13,0,34:53.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,23,600,Илиян ГЕЧОВ,KTM 300 tpi,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:23:19,,,1,3:23:19.0,10:25:30,13:48:49,0,35:29.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,24,14,Георги ПЕТКОВ,КТМ EXC 300,МСК ХАРД РАЙДЪРС,03:25:47,,,1,3:25:47.0,10:21:30,13:47:17,0,37:57.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,25,274,Иван ЧУКУРОВ,Husqvarna TЕ300,ЕК ЛУДА РАБОТА,03:27:23,,,1,3:27:23.0,10:20:00,13:47:23,0,39:33.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,26,771,Марио ЧАНГАЛОВ,KTM 300 EXC,ЕНДУРО КЛУБ КОРНИЦА,03:28:49,,,1,3:28:49.0,10:23:30,13:52:19,0,40:59.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,27,111,Синан СЕИДОВ,Husqvarna Te300i,МСК ХАРД РАЙДЪРС,03:32:11,,,1,3:32:11.0,10:24:30,13:56:41,0,44:21.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,28,84,Мартин ИВАНОВ,Husqvarna,МСК ХАРД РАЙДЪРС,03:32:42,,,1,3:32:42.0,10:24:00,13:56:42,0,44:52.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,29,118,Петър БЕНЧЕВ,Gas gas ec300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:43:11,,,1,3:43:11.0,10:19:30,14:02:41,0,55:21.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,30,44,Стефан ДЕЛЕВ,husqvarna te 300,МСК ХАРД РАЙДЪРС,03:53:09,,,1,3:53:09.0,10:18:00,14:11:09,0,1:05:19.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,31,257,Николай НИКОЛАЕВ,GAS GAS EC 300 GP,МСК ЕНДУРО ЕКСТРИЙМ БОТ,03:58:01,,,1,3:58:01.0,10:23:00,14:21:01,0,1:10:11.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,32,203,Веско ПАСПАЛЕВ,Ктм 300,НК ЕНДУРО ВИКТОРИ,04:06:21,,,1,4:06:21.0,10:18:30,14:24:51,0,1:18:31.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,33,222,Борислав ВЕЛИКОВ,KTM EXC 300,МСК ЕКСТРИЙМ ЕНДУРО КРУ,04:15:59,,,1,4:15:59.0,10:24:00,14:39:59,0,1:28:09.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,34,47,Ангел ТРАНДОВ,KTM EXC 350,МСК ХАРД РАЙДЪРС,04:16:13,,,1,4:16:13.0,10:18:30,14:34:43,0,1:28:23.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,35,27,Методи ТРЕНЧЕВ,Husqvarna TE300,МСК ЕКСТРИЙМ ЕНДУРО КРУ,04:22:53,,,1,4:22:53.0,10:23:00,14:45:53,0,1:35:03.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,FIN,36,18,Павел Цацов,Husqvarna TE300,МСК ЕКСТРИЙМ ЕНДУРО КРУ,04:48:17,,,1,4:48:17.0,10:24:30,15:12:47,0,2:00:27.0,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,DNF,,2,Калоян ЯНКОВ 3:28:14.0,,,,,,,,,,,,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,DNF,,100,Теодор КРЪСТЕВ,,,,,,,,,,,,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,DNF,,177,Николай ФИЛЧЕВ 3:26:17.0,,,,,,,,,,,,
2025,hard_enduro_kyrnare-2025-day1.pdf,Hard Enduro КЪРНАРЕ 2025,1,ЕКСПЕРТ,DNF,,181,Мирослав МАРЧЕВ 4:19:01.0,,,,,,,,,,,,
