year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ПРОФИ,FIN,1,15,Мартин МАРИНОВ,,,,,,,,,,25,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ПРОФИ,FIN,2,238,Пламен КОВАЧЕВ,,,,,,,,,,14,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,1,255,Димитър ТИНЧЕВ,,,,,,,,,,25,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,2,34,Георги ГЕОРГИЕВ,,,,,,,,,,22,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,3,327,Борислав БОЖИЛОВ,,,,,,,,,,20,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,4,347,Димитър ИЛИЕВ,,,,,,,,,,20,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,5,307,Милен ДИМИТРОВ,,,,,,,,,,18,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,6,107,Калоян ТОДОРОВ,,,,,,,,,,16,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,7,400,Иван ГЕНЧЕВ,,,,,,,,,,15,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,8,9,Константин ИВАНОВ,,,,,,,,,,14,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,9,274,Иван ЧУКУРОВ,,,,,,,,,,13,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,10,118,Петър БЕНЧЕВ,,,,,,,,,,12,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,11,294,Александър Кабакчиев,,,,,,,,,,11,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,12,14,Георги ПЕТКОВ,,,,,,,,,,10,,
2025,hard_enduro_six_crazy_job-2025-day1.pdf,Six Days Crazy Job 2025,1,ЕКСПЕРТ,FIN,13,111,Синан СЕИДОВ,,,,,,,,,,9,,
