year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,1,15,Мартин МАРИНОВ,KTM 300 EXC,ЕК ЛУДА РАБОТА,03:59:30,,,1,3:59:30.7,10:00:00,13:59:30,25,0,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,2,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:16:34,,,1,4:16:34.5,10:00:30,14:17:04,22,17:03.8,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,3,131,Борис ЧАКЪРОВ,Husqvarna TE 300,СК УАЙЛД ЕКСТРИЙМ РЕЙСИ,04:44:51,,,1,4:44:51.1,10:00:30,14:45:21,20,45:20.4,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,4,112,Станислав КИРИЛОВ,GAS GAS,СК БУЛДОК РОКЕТС,04:58:02,,,1,4:58:02.0,10:00:00,14:58:02,18,58:31.3,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,5,13,Любомир СИНЕВ,Gas Gas ec 300,СК БУЛДОК РОКЕТС,04:58:26,,,1,4:58:26.1,10:01:00,14:59:26,16,58:55.4,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,6,393,Симеон НЕНКОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,05:10:01,,,1,5:10:01.5,10:01:00,15:11:01,15,1:10:30.8,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,7,845,Валентин ПЕТКОВ,Gas Gas ec300,МОТОЦИКЛЕТЕН КЛУБ БОЛЯР,06:00:18,,,1,6:00:18.9,10:02:30,16:02:48,14,2:00:48.2,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,8,134,Красимир БОШНАКОВ,KTM300TBI,ЕК ЛУДА РАБОТА,06:12:57,,,1,6:12:57.1,10:01:30,16:14:27,13,2:13:26.4,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,FIN,9,99,Светослав МАРИНОВ,Tesla,МСК ЕНДУРО СЕВЛИЕВО,07:37:27,,,1,7:37:27.8,10:02:30,17:39:57,12,3:37:57.1,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,DNF,,171,Георги ПЕТРОВ,,,,,,,,,,,,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,DNF,,189,Красимир ДИМИТРОВ,,,,,,,,,,,,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,DNF,,217,Данаил КОСТАДИНОВ,,,,,,,,,,,,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ПРОФИ,DNF,,915,Байрям КЪРМАДЖИ,,,,,,,,,,,,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,1,107,Калоян ТОДОРОВ,GasGas,СК БУЛДОК РОКЕТС,03:41:28,,,1,3:41:28.2,10:06:00,13:47:28,25,30:19.0,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,2,255,Димитър ТИНЧЕВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,03:43:04,,,1,3:43:04.6,10:05:30,13:48:34,22,31:55.4,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,3,811,Иван ЦОНЧЕВ,Gas Gas Ec 300,АЛБА ДАМАСЦЕНА МСК,03:43:36,,,1,3:43:36.5,10:06:00,13:49:36,20,32:27.3,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,4,34,Георги ГЕОРГИЕВ,Husqvarna tpi300,АЛБА ДАМАСЦЕНА МСК,03:44:39,,,1,3:44:39.9,10:05:00,13:49:39,18,33:30.7,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,5,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,03:54:04,,,1,3:54:04.7,10:05:00,13:59:04,16,42:55.5,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,6,94,Димитър ЦВЕТКОВ,KTM 300,НК ЕНДУРО ВИКТОРИ,04:03:38,,,1,4:03:38.7,10:05:00,14:08:38,15,52:29.5,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,7,772,Валентин РОГЛЕВ,KTM 250,СМК РИДО САМОКОВ,04:06:58,,,1,4:06:58.2,10:05:30,14:12:28,14,55:49.0,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,8,9,Константин ИВАНОВ,КТМ EXC 300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,04:18:59,,,1,4:18:59.4,10:06:30,14:25:29,13,1:07:50.2,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,9,41,Георги Георгиев,Ktm 300,МСК РИСК ГАБРОВО,04:20:36,,,1,4:20:36.4,10:12:30,14:33:06,12,1:09:27.2,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,10,274,Иван ЧУКУРОВ,Husqvarna TЕ300,ЕК ЛУДА РАБОТА,04:24:13,,,1,4:24:13.2,10:07:30,14:31:43,11,1:13:04.0,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,11,294,Александър Кабакчиев,Sherco SE 250,СК ЕКСТРИЙМ РЕЙСИНГ,04:30:50,,,1,4:30:50.6,10:05:30,14:36:20,10,1:19:41.4,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,12,464,Иван САРПИОНОВ,KTM EXC 300,"КЛУБ ""B&S RACING TEAM""",04:40:40,,,1,4:40:40.8,10:06:00,14:46:40,9,1:29:31.6,
2025,hard_enduro_stara_zagora-2025-day1.pdf,Hard Enduro Stara Zagora 2025,1,ЕКСПЕРТ,FIN,13,118,Петър БЕНЧЕВ,Gas gas ec300,МСК ЕНДУРО ЕКСТРИЙМ БОТ,04:15:49,00:30:00,,1,4:45:49.4,10:09:00,14:24:49,8,1:34:40.2,
