year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,03:05:24,,,1,3:05:24.7,09:34:00,12:39:24,15,0,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,2,255,Димитър ТИНЧЕВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,03:10:07,,,1,3:10:07.5,09:33:00,12:43:07,12,4:42.8,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,3,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,03:32:53,,,1,3:32:53.6,09:31:30,13:04:23,10,27:28.9,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,4,107,Калоян ТОДОРОВ,Ktm300 tpi,BulDock ROCKETS,03:33:19,,,1,3:33:19.1,09:31:00,13:04:19,9,27:54.4,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,5,131,Борис ЧАКЪРОВ,HUSQVARNA TE 300,НК ЕНДУРО ВИКТОРИ,03:41:38,,,1,3:41:38.0,09:32:00,13:13:38,8,36:13.3,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,6,393,Симеон НЕНКОВ,KTM 300 EXC,НК ЕНДУРО ВИКТОРИ,03:47:09,,,1,3:47:09.3,09:30:00,13:17:09,7,41:44.6,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,7,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,03:47:22,,,1,3:47:22.4,09:30:30,13:17:52,6,41:57.7,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ПРОФИ,FIN,8,217,Данаил КОСТАДИНОВ,KTM 500 EXC,МСК ХАРД РАЙДЪРС,04:55:12,02:00:00,,1,6:55:12.2,09:33:30,14:28:42,5,3:49:47.5,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ЕКСПЕРТ,FIN,1,19,Любомир ИВАНОВ,GasGas 300,АЛБА ДАМАСЦЕНА МСК,02:06:51,,,1,2:06:51.5,09:37:00,11:43:51,15,0,
2026,hard_enduro_botevgrad-2026-day2.pdf,БОТЕВГРАД 2026,2,ЕКСПЕРТ,FIN,2,350,Цветан АЛЕКСИЕВ,KTM 350,МСК ЕКС ЕНДУРО КЪРНАРЕ,02:13:13,,,1,2:13:13.2,09:37:30,11:50:43,12,6:21.7,
