year,event_file,event,day,class,status,position,start_number,rider_name,motorcycle,club,ride_time,gps_penalty,cp_penalty,laps,total_time,start_time,finish_time,points,gap_to_leader,partial_time
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,1,272,Кристиан ПЕТРОВ,KTM 300 EXC,МСК ХАРД РАЙДЪРС,04:37:13,,,1,4:37:13.1,09:30:00,14:07:13,25,0,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,2,255,Димитър ТИНЧЕВ,KTM 300,АЛБА ДАМАСЦЕНА МСК,05:40:52,,,1,5:40:52.7,09:30:30,15:11:22,22,1:03:39.6,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,3,131,Борис ЧАКЪРОВ,HUSQVARNA TE 300,НК ЕНДУРО ВИКТОРИ,06:03:42,,,1,6:03:42.7,09:32:00,15:35:42,20,1:26:29.6,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,4,347,Димитър ИЛИЕВ,Husqvarna TE 300,ЕК ЛУДА РАБОТА,06:19:22,,,1,6:19:22.7,09:31:30,15:50:52,18,1:42:09.6,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,5,189,Красимир ДИМИТРОВ,КТМ 300 ТПИ,МСК ХАРД РАЙДЪРС,07:06:09,,,1,7:06:09.2,09:30:30,16:36:39,16,2:28:56.1,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,6,30,Илиян КУЗМАНОВ,Honda,СК АФГ ТИМ,06:56:32,,01:00:00,1,7:56:32.3,09:30:00,16:26:32,1К,15 3:19:19.2,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,7,107,Калоян ТОДОРОВ,Ktm300 tpi,BulDock ROCKETS,07:01:56,,01:00:00,1,8:01:56.2,09:31:00,16:32:56,3К,14 3:24:43.1,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,FIN,8,217,Данаил КОСТАДИНОВ,KTM 500 EXC,МСК ХАРД РАЙДЪРС,07:05:35,,01:00:00,1,8:05:35.8,09:31:00,16:36:35,3К,13 3:28:22.7,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,DNF,,226,Иван ИВАНОВ,,,,,,,,,,,,
2026,hard_enduro_buhovo_2026-day1.pdf,БУХОВО 2026,1,ПРОФИ,DNF,,810,Валентин МИЛЕВ,,,,,,,,,,,,
